NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
8,0,48,1000000,1,2,20280,11,22,24,60,5197,29431,949011
8,0,48,1000000,1,3,1778233,797899,1064412,1356396,1846617,2188306,2271002,2486233
8,0,48,1000000,2,2,12079,10374,10374,10374,13785,13785,13785,13785
8,0,48,1000000,2,3,401174,214351,214351,214351,587998,587998,587998,587998
8,0,48,1000000,2,4,28855,16610,16610,16610,41100,41100,41100,41100
8,0,48,1000000,3,1,8,1,2,2,4,22,34,38
8,0,48,1000000,3,2,463,1,2,2,10,239,2685,14077
8,0,48,1000000,3,3,506014,58829,121775,154994,405440,1056856,1146733,1376797
8,0,48,1000000,4,2,5364,116,116,125,317,16347,28380,97561
8,0,48,1000000,4,3,591512,215138,252247,290538,498864,1060867,1175461,1436604
8,0,48,1000000,4,4,64073,11041,15484,23880,40142,137580,214060,330603

9,1,8,1000000,1,1,73,42,42,42,69,134,134,134
9,1,8,1000000,1,2,644958,243319,243319,243319,789504,991343,991343,991343
9,1,8,1000000,1,3,62,32,32,32,67,94,94,94
9,1,8,1000000,2,1,6181,21,21,21,72,24610,24610,24610
9,1,8,1000000,2,2,445987,158726,158726,158726,394336,942332,942332,942332
9,1,8,1000000,2,3,58,20,20,20,63,111,111,111
9,1,8,1000000,4,1,28,28,28,28,28,28,28,28
9,1,8,1000000,4,2,384220,384220,384220,384220,384220,384220,384220,384220
9,1,8,1000000,4,3,42,42,42,42,42,42,42,42

10,1,8,1000000,1,1,67,40,40,40,63,91,91,91
10,1,8,1000000,1,2,530839,252114,252114,252114,493864,829503,829503,829503
10,1,8,1000000,1,3,80,45,45,45,60,169,169,169
10,1,8,1000000,2,1,5002,21,21,21,31,19927,19927,19927
10,1,8,1000000,2,2,292481,102720,102720,102720,313813,522580,522580,522580
10,1,8,1000000,2,3,48,20,20,20,48,87,87,87
10,1,8,1000000,4,1,39,13,13,13,66,66,66,66
