NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,0,1,8,1000000,1358943,544.3,2006,1742,2850,4765,0,599,683,973,1301,2099,880,0,1248
2,0,1,8,1000000,1490419,597.0,1931,1653,2719,4642,0,494,606,787,787,2217,979,0,1196
3,0,1,16,1000000,1300750,521.0,2329,1831,2823,4669,0,807,774,1701,2264,1614,1037,0,1176
4,0,1,16,1000000,1340237,536.8,2175,1734,2717,4484,0,652,499,1187,1196,1598,1064,2540,912
5,0,1,32,1000000,1152275,461.5,6061,1914,3007,5140,0,875,572,2126,2432,671,769,1693,686
6,0,1,32,1000000,1175173,470.7,6484,1862,2877,5590,0,915,590,2129,2400,565,727,1597,676
7,0,1,48,1000000,966363,387.1,14154,1937,3001,5304,0,1136,929,2284,2968,431,584,880,489
8,0,1,48,1000000,1026645,411.2,11004,1888,2931,4701,0,936,663,2138,2547,410,718,1040,512
9,1,1,8,1000000,1317031,527.5,1942,1727,2828,5030,0,567,418,1019,1019,2044,1022,0,646
10,1,1,8,1000000,1365970,547.1,1905,1696,2785,4977,0,451,434,858,898,2144,1094,0,1238
12,1,1,16,1000000,1328989,532.3,2021,1747,2652,4656,0,807,664,1722,1799,1449,1028,0,1290
13,1,1,32,1000000,1021025,409.0,5563,1824,2783,5265,0,1070,582,2347,6258,999,994,1285,730
14,1,1,16,1000000,1346328,539.3,2092,1727,2597,4418,0,805,658,1779,2028,1812,997,0,1182
16,1,1,32,1000000,882932,353.7,2010,1827,2767,5084,0,1141,500,2052,7614,979,981,1058,1004
17,1,1,48,1000000,574243,230.0,6831,1834,2839,4496,0,2670,2470,5697,7971,828,972,320,366
18,1,1,48,1000000,595415,238.5,3915,1832,2830,4789,0,2408,2108,4860,8865,805,981,413,323
