NO,compactor,current_node_id,thread,ops_per_thread,type,time
1,2,3,8,1000000,local,4
1,2,3,8,1000000,node 0,9

2,2,3,8,1000000,local,4
2,2,3,8,1000000,node 0,7

3,2,3,8,1000000,local,6
3,2,3,8,1000000,node 0,8

4,2,3,8,1000000,local,3
4,2,3,8,1000000,node 0,10
4,2,3,8,1000000,node 1,1


6,2,3,8,1000000,local,4
6,2,3,8,1000000,node 0,13

7,2,3,8,1000000,local,6
7,2,3,8,1000000,node 0,12

8,2,3,8,1000000,local,6
8,2,3,8,1000000,node 0,13

9,2,3,8,1000000,local,3
9,2,3,8,1000000,node 0,7

10,2,3,8,1000000,local,3
10,2,3,8,1000000,node 0,9


12,2,3,8,1000000,local,2
12,2,3,8,1000000,node 0,9
12,2,3,8,1000000,node 1,1

