NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,0,8,1000000,29.033942,29.362416,63.758389,75.503356,75.503356
2,2,0,8,1000000,24.617459,16.778523,67.114094,79.697987,79.697987
3,2,0,8,1000000,21.355562,6.711409,60.402685,70.469799,79.697987
4,2,0,8,1000000,28.553452,30.201342,67.114094,83.892617,83.892617
6,2,0,8,1000000,25.497388,16.778523,67.114094,83.892617,88.087248
7,2,0,8,1000000,18.052020,13.422819,50.335570,67.114094,70.469799
8,2,0,8,1000000,18.976166,13.742530,50.335570,70.469799,70.469799
9,2,0,8,1000000,18.526439,14.358059,63.758389,70.469799,70.469799
10,2,0,8,1000000,15.572835,11.185682,46.979866,53.691275,53.691275
12,2,0,8,1000000,16.405185,6.711409,46.140940,75.503356,83.892617
