NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,3,8,1000000,15.333344,8.389262,50.335570,75.503356,81.096197
2,2,3,8,1000000,14.119790,8.389262,26.845638,75.503356,83.892617
3,2,3,8,1000000,15.542934,8.389262,60.822148,78.299776,81.096197
4,2,3,8,1000000,17.060510,8.389262,60.822148,92.281879,117.449664
6,2,3,8,1000000,16.086246,8.389262,60.822148,78.299776,81.096197
7,2,3,8,1000000,13.721591,8.389262,23.489933,75.503356,83.892617
8,2,3,8,1000000,14.978019,8.389262,55.928412,71.308725,79.697987
9,2,3,8,1000000,14.382067,8.389262,25.167785,83.892617,117.449664
10,2,3,8,1000000,15.437640,8.389262,33.557047,79.697987,96.476510
12,2,3,8,1000000,16.681756,8.389262,61.521253,92.281879,100.671141
