compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
2.0,1.0,8.0,1000000.0,1210775.5,484.95,2018.5,1667.0,2704.5,4913.5,0.0,561.5,435.5,1101.0,1225.0,1769.0,1172.5,0.0,1305.0
2.0,1.0,8.0,1000000.0,1224954.5,490.65,2017.0,1676.5,2680.5,4706.0,0.0,453.5,433.0,749.5,1106.5,2119.0,1107.0,1571.5,1210.0
2.0,1.0,8.0,1000000.0,1230469.0,492.85,2003.0,1647.0,2666.0,4938.5,0.0,364.0,374.0,609.5,738.0,2625.0,1205.5,1687.0,1097.0
2.0,1.0,8.0,1000000.0,1249640.5,500.5,1990.0,1640.0,2643.5,4561.0,0.0,473.0,590.5,988.0,1006.0,2188.0,1222.0,2070.0,1327.0
2.0,1.0,8.0,1000000.0,1253310.5,502.0,2010.0,1631.0,2661.5,4931.5,0.0,537.0,472.5,1062.0,1341.5,2057.0,1223.0,0.0,866.0
