compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,3,1,3000000,2.694473,2.516779,4.194631,5.033557,5.872483
1,3,1,3000000,2.635982,2.516779,4.194631,5.033557,5.872483
1,3,1,3000000,2.600416,2.516779,4.194631,5.872483,6.711409
1,3,1,3000000,2.651977,2.516779,4.194631,5.872483,5.872483
1,3,1,3000000,2.522551,2.516779,3.355705,4.614094,5.872483
1,3,2,3000000,3.174361,3.355705,5.033557,6.711409,7.550336
1,3,2,3000000,3.375320,3.355705,5.033557,6.711409,8.389262
1,3,4,3000000,4.397410,5.033557,6.711409,7.969799,10.067114
1,3,4,3000000,4.599327,5.033557,7.550336,8.389262,8.389262
1,3,8,3000000,5.586252,4.194631,10.906040,15.100671,16.778523
1,3,12,3000000,5.087573,2.097315,13.422819,17.617450,19.295302
1,3,12,3000000,4.214180,1.677852,12.583893,18.456376,21.812081
0,3,1,3000000,2.877460,3.076063,4.194631,5.872483,6.711409
0,3,1,3000000,2.936242,2.516779,4.194631,6.711409,7.550336
0,3,2,3000000,4.925826,5.033557,7.550336,16.778523,22.651007
0,3,2,3000000,4.905694,4.194631,8.389262,14.261745,17.617450
0,3,4,3000000,9.534594,8.808725,17.617450,21.812081,28.523490
0,3,4,3000000,8.324012,7.550336,15.100671,23.489933,25.167785
0,3,8,3000000,14.728899,15.100671,22.231544,31.040268,32.718121
0,3,8,3000000,13.481587,13.422819,22.651007,28.523490,31.040268
0,3,12,3000000,16.283110,17.197987,26.006711,37.751678,40.268456
0,3,12,3000000,17.154965,16.778523,27.684564,37.751678,40.268456
