NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,1,4,3000000,4.923896,2.918004,14.590020,29.180041,35.016049
2,2,1,4,3000000,7.058416,2.918004,17.508025,72.220601,93.376131
3,2,1,4,3000000,5.372597,2.918004,13.860519,39.101255,52.524074
4,2,1,4,3000000,5.419254,2.918004,16.049022,34.432448,80.245112
5,2,1,4,3000000,5.899921,2.918004,14.590020,45.229063,45.229063
6,2,1,4,3000000,5.885573,2.918004,16.049022,54.712577,56.901080
7,2,1,4,3000000,6.096126,2.918004,14.590020,55.442078,74.409104
8,2,1,4,3000000,6.338660,2.918004,17.508025,61.278086,81.704114
