NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,0,4,3000000,28.396871,13.422819,68.008949,76.062640,85.011186
2,2,0,4,3000000,23.949168,4.116331,67.114094,71.588367,82.774049
3,2,0,4,3000000,19.669133,8.053691,57.270694,80.536913,81.655481
4,2,0,4,3000000,19.991882,5.592841,57.419836,80.536913,81.655481
5,2,0,4,3000000,23.102929,11.633110,62.639821,69.798658,69.798658
6,2,0,4,3000000,17.049598,4.474273,50.111857,68.232662,78.299776
7,2,0,4,3000000,24.231127,8.053691,63.534676,68.903803,69.798658
8,2,0,4,3000000,15.648481,5.369128,39.522744,76.062640,78.299776
