NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
17,0,0,8,3000000,1.050878,0.000000,3.579418,8.526445,10.594741
18,0,0,8,3000000,1.069773,0.000000,3.579418,8.273184,8.442024
19,0,0,12,3000000,0.738901,0.000000,2.684564,8.610865,12.693318
20,0,0,12,3000000,0.737008,0.000000,2.684564,5.369128,8.793189
21,0,0,16,3000000,0.712106,0.000000,2.684564,4.474273,8.663560
22,0,0,16,3000000,0.758485,0.000000,2.684564,8.357604,11.765681
23,1,0,8,3000000,31.938158,28.635347,66.219239,79.418345,82.774049
24,1,0,8,3000000,30.826789,25.055928,65.324385,80.536913,82.774049
26,1,0,12,3000000,30.189253,25.950783,64.429530,79.418345,82.774049
27,1,0,12,3000000,27.745098,24.161074,62.639821,73.825503,79.418345
