NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99


3,2,8,1000000,4,1,40731,40731,40731,40731,40731,40731,40731,40731
3,2,8,1000000,4,2,93155,93155,93155,93155,93155,93155,93155,93155
3,2,8,1000000,4,3,521566,521566,521566,521566,521566,521566,521566,521566
3,2,8,1000000,4,4,25918,25918,25918,25918,25918,25918,25918,25918
3,2,8,1000000,4,5,27,27,27,27,27,27,27,27


5,2,8,1000000,4,1,25,25,25,25,25,25,25,25
5,2,8,1000000,4,2,10661,10661,10661,10661,10661,10661,10661,10661
5,2,8,1000000,4,3,200503,200503,200503,200503,200503,200503,200503,200503
5,2,8,1000000,4,4,10529,10529,10529,10529,10529,10529,10529,10529
5,2,8,1000000,4,5,22,22,22,22,22,22,22,22



8,2,8,1000000,4,1,85773,85773,85773,85773,85773,85773,85773,85773
8,2,8,1000000,4,2,140074,140074,140074,140074,140074,140074,140074,140074
8,2,8,1000000,4,3,569871,569871,569871,569871,569871,569871,569871,569871
8,2,8,1000000,4,4,26168,26168,26168,26168,26168,26168,26168,26168
8,2,8,1000000,4,5,32,32,32,32,32,32,32,32



