NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
32,0,0,4,3000000,1483770,594.3,1921,1282,2177,3522,0,1378,1456,3346,3346,1077,835,0,0
33,0,0,4,3000000,1196174,479.1,2506,1280,2167,3687,0,1690,2184,3710,3710,1142,879,0,0
34,0,0,4,3000000,1365969,547.1,2025,1297,2264,3818,0,1424,1552,3092,3092,589,842,0,750
35,0,0,4,3000000,1207759,483.8,2700,1208,1838,3405,0,1869,2277,4148,4148,653,795,0,0
36,0,0,4,3000000,1572698,629.9,1941,1178,1769,3172,0,1915,2520,4083,4083,1061,413,0,0
37,0,0,4,3000000,1233800,494.2,2017,1549,2590,3974,0,1144,1653,2208,2208,1015,750,0,1120
38,1,0,4,3000000,1803700,722.5,1394,1233,2039,3522,0,343,322,546,835,3533,779,2057,1138
39,1,0,4,3000000,1869796,748.9,1351,1200,1952,3312,0,713,830,982,1018,2239,1014,0,245
41,1,0,4,3000000,1352143,541.6,1633,1515,2413,3658,0,302,312,392,445,3238,1058,2358,954
42,1,0,4,3000000,1350844,541.1,1651,1516,2399,3903,0,318,267,615,873,3233,1020,2483,972
