NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99











29,1,1,1,62,39,39,39,65,95,95,95
29,1,1,2,50882,15105,15105,24688,41089,98188,128463,128463
29,1,1,3,1283799,643716,643716,720985,1142736,2142756,2142756,2142756
29,1,1,4,87514,51716,51716,54008,88027,134394,134394,134394
29,1,1,5,314,59,59,59,94,1220,1220,1220
29,1,2,1,40,18,18,18,40,76,76,76
29,1,2,2,10083,4725,4725,4725,11847,15690,15690,15690
29,1,2,3,308368,141733,141733,141733,309446,616747,616747,616747
29,1,2,4,29089,14668,14668,14668,28494,56979,56979,56979
29,1,2,5,30,23,23,23,30,42,42,42

30,1,1,1,63,22,22,35,59,190,190,190
30,1,1,2,42829,10557,11939,15729,44876,84031,98038,98038
30,1,1,3,1162682,199673,199673,277699,908407,2620176,2890614,2890614
30,1,1,4,73608,14951,14951,20370,83672,135832,161243,161243
30,1,1,5,82,50,50,50,86,125,125,125
30,1,2,1,20,11,11,11,16,30,30,30
30,1,2,2,7154,4558,4558,4558,5603,13242,13242,13242
30,1,2,3,273548,99247,99247,99247,169540,493065,493065,493065
30,1,2,4,28393,13565,13565,13565,21124,44857,44857,44857
30,1,2,5,42,17,17,17,25,117,117,117

31,1,1,1,122,40,40,43,83,331,418,418
31,1,1,2,49159,11659,13523,14157,42467,88817,92442,107431
31,1,1,3,2100235,462166,497919,547583,2535990,3010409,3639626,3901453
31,1,1,4,116884,28975,30582,33545,130207,156396,184436,228045
31,1,1,5,211,71,71,72,133,544,643,643
31,1,2,1,31,15,15,15,27,68,68,68
31,1,2,2,8614,4632,4632,4632,9898,11685,11685,11685
31,1,2,3,279651,104263,104263,104263,256726,605706,605706,605706
31,1,2,4,27573,9943,9943,9943,23836,70380,70380,70380
31,1,2,5,30,24,24,24,28,48,48,48
31,1,3,1,40,40,40,40,40,40,40,40
31,1,3,2,5,1,1,1,10,10,10,10
31,1,3,3,769179,641765,641765,641765,896593,896593,896593,896593
31,1,3,4,73406,65326,65326,65326,81487,81487,81487,81487
31,1,3,5,95,95,95,95,95,95,95,95
31,1,4,1,20,14,14,14,22,26,26,26
31,1,4,2,2716,2325,2325,2325,2441,4133,4133,4133
31,1,4,3,279231,91091,91091,91091,296152,386371,386371,386371
31,1,4,4,35466,13040,13040,13040,36345,57936,57936,57936
31,1,4,5,28,20,20,20,29,36,36,36

32,1,1,1,100,32,32,43,80,249,259,259
32,1,1,2,49765,11528,14467,16138,41786,92412,103642,120551
32,1,1,3,2141243,418382,441912,624998,2103123,3934547,4743337,4843407
32,1,1,4,112927,30117,34598,47117,120860,174700,189503,221797
32,1,1,5,162,61,61,63,123,219,575,575
32,1,2,1,33,17,17,17,25,84,84,84
32,1,2,2,12243,7371,7371,7371,13710,15207,15207,15207
32,1,2,3,260503,92939,92939,92939,260872,646587,646587,646587
32,1,2,4,26192,10009,10009,10009,24183,59527,59527,59527
32,1,2,5,100,17,17,17,28,616,616,616
32,1,3,1,35,35,35,35,35,35,35,35
32,1,3,2,5,0,0,0,11,11,11,11
32,1,3,3,634201,440194,440194,440194,828209,828209,828209,828209
