NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
1,0,0,8,1000000,1156016,463.0,2277,1759,2839,5231,0,506,616,881,987,1829,1038,0,1219
2,0,0,8,1000000,1205210,482.7,2262,1731,2773,5004,0,569,554,856,1226,1740,1039,0,1098
3,0,0,16,1000000,1012004,405.4,3447,1851,3043,6771,0,1306,1132,2868,2988,1083,800,0,1403
4,0,0,16,1000000,1048049,419.8,3941,1838,3020,5843,0,1194,993,2679,2825,1420,962,0,0
5,0,0,32,1000000,735562,294.6,6960,1897,3058,6484,0,1541,1209,3718,4277,359,538,742,408
6,0,0,32,1000000,750958,300.8,15341,1889,3063,7265,0,1488,1086,3703,3890,289,429,715,371
8,0,0,48,1000000,658232,263.7,3529,1875,2963,6150,0,1627,1426,3740,4990,329,176,736,270
9,0,0,48,1000000,688528,275.8,5539,1885,2988,5638,0,1635,1489,3938,4827,280,414,702,287
11,0,0,64,1000000,607079,243.2,12497,1874,2898,5143,0,1970,1851,4171,5906,331,185,692,299
12,0,0,64,1000000,616010,246.7,14385,1892,2993,5783,0,1840,1631,4190,5546,315,134,644,346
13,1,0,8,1000000,1252668,501.7,1977,1705,2652,4940,0,501,381,1007,1062,2208,1151,0,1374
14,1,0,8,1000000,1307337,523.6,2006,1705,2675,4818,0,594,539,1332,1332,1726,1148,0,0
15,1,0,16,1000000,1257583,503.7,2375,1780,2809,4966,0,745,562,1547,1760,1651,1072,2855,1392
16,1,0,16,1000000,1269816,508.6,2421,1775,2806,4850,0,772,559,1850,2047,1639,1076,2354,1391
17,1,0,32,1000000,827227,331.3,6315,1861,2982,6844,0,1306,896,2326,7246,763,932,909,737
18,1,0,32,1000000,884711,354.4,4385,1869,3009,6647,0,1188,809,2423,7579,887,976,1177,572
19,1,0,48,1000000,536230,214.8,7908,1871,2933,4906,0,1700,1408,3029,9844,895,870,590,416
20,1,0,48,1000000,538943,215.9,2577,1884,2980,6111,0,1745,1499,2506,8754,453,1041,712,413
