NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,8,1000000,1,1,3,3,3,3,4,6,6,6
1,0,8,1000000,1,2,3512,10,10,11,21,396,910,78716
1,0,8,1000000,1,3,631287,412563,412563,434481,642352,807434,822503,822503
1,0,8,1000000,1,4,38688,15801,15801,23082,38858,49014,90193,90193
1,0,8,1000000,2,2,5144,203,203,203,504,13748,13748,13748
1,0,8,1000000,2,3,296878,115643,115643,115643,208623,599166,599166,599166
1,0,8,1000000,2,4,26610,11275,11275,11275,21089,49314,49314,49314
1,0,8,1000000,4,2,2636,121,121,121,5152,5152,5152,5152
1,0,8,1000000,4,3,151874,122405,122405,122405,181343,181343,181343,181343
1,0,8,1000000,4,4,17030,10494,10494,10494,23566,23566,23566,23566

2,0,8,1000000,1,1,3,3,3,3,3,4,4,4
2,0,8,1000000,1,2,7536,7,8,10,21,266,149621,149621
2,0,8,1000000,1,3,593359,121938,121938,131638,658399,853454,861171,861171
2,0,8,1000000,1,4,52539,2137,2137,9294,39074,135501,177716,177716
2,0,8,1000000,2,2,6855,316,316,316,9603,13235,13235,13235
2,0,8,1000000,2,3,329953,128968,128968,128968,264425,742659,742659,742659
2,0,8,1000000,2,4,30763,10798,10798,10798,25668,66015,66015,66015
2,0,8,1000000,4,2,1449,1449,1449,1449,1449,1449,1449,1449
2,0,8,1000000,4,3,249686,249686,249686,249686,249686,249686,249686,249686
2,0,8,1000000,4,4,24221,24221,24221,24221,24221,24221,24221,24221

3,0,16,1000000,1,1,6,4,4,4,5,15,15,15
3,0,16,1000000,1,2,10570,10,10,10,23,9914,132534,132861
3,0,16,1000000,1,3,1320012,171392,472506,583796,1255144,2488975,2608326,2834208
3,0,16,1000000,1,4,78660,5068,9654,19026,72466,152618,184071,189133
3,0,16,1000000,2,2,18151,14441,14441,14441,21862,21862,21862,21862
3,0,16,1000000,2,3,296249,198189,198189,198189,394309,394309,394309,394309
3,0,16,1000000,2,4,24356,16307,16307,16307,32405,32405,32405,32405
3,0,16,1000000,4,2,1293,1293,1293,1293,1293,1293,1293,1293

4,0,16,1000000,1,1,7,3,3,3,5,16,16,16
4,0,16,1000000,1,2,10081,8,8,15,38,12883,130117,197813
4,0,16,1000000,1,3,1317063,390646,498466,586769,1024774,2436008,2525058,2648674
4,0,16,1000000,1,4,86547,15746,16023,19290,69039,181737,238443,242895
4,0,16,1000000,2,2,7175,210,210,210,11917,16132,16132,16132
4,0,16,1000000,2,3,276933,127125,127125,127125,269499,443945,443945,443945
4,0,16,1000000,2,4,30399,11123,11123,11123,34674,54004,54004,54004

5,0,32,1000000,1,1,16,2,2,3,6,43,46,46
5,0,32,1000000,1,2,10052,9,19,21,41,1935,93232,240753
5,0,32,1000000,1,3,2699033,763123,807132,881664,2966181,3683817,3819858,3914793
5,0,32,1000000,1,4,142180,35907,48614,53832,138770,216021,266083,331656
5,0,32,1000000,2,2,25887,25887,25887,25887,25887,25887,25887,25887
5,0,32,1000000,2,3,323841,323841,323841,323841,323841,323841,323841,323841
5,0,32,1000000,2,4,21279,21279,21279,21279,21279,21279,21279,21279
5,0,32,1000000,3,1,5,2,2,2,6,12,12,12
5,0,32,1000000,3,2,2945,1,1,1,12,15406,17233,30297
5,0,32,1000000,3,3,932998,396305,465586,516111,960173,1290654,1345143,1377777
5,0,32,1000000,3,4,103394,8245,12166,14372,65439,228903,249550,256352
5,0,32,1000000,4,2,10286,114,115,115,154,1313,1324,219163
5,0,32,1000000,4,3,784271,274217,280171,328807,764689,1153795,1229068,1426289
5,0,32,1000000,4,4,116010,18419,33377,35717,78421,304966,324389,350618

6,0,32,1000000,1,1,11,3,3,4,6,9,68,68
6,0,32,1000000,1,2,16258,16,18,20,47,3034,72475,329048
6,0,32,1000000,1,3,2709118,704763,1089955,1362056,2988632,3430720,3476609,3515759
6,0,32,1000000,1,4,181855,33329,49642,75992,166515,329818,356785,435273
6,0,32,1000000,2,2,22286,22286,22286,22286,22286,22286,22286,22286
6,0,32,1000000,2,3,566790,566790,566790,566790,566790,566790,566790,566790
6,0,32,1000000,2,4,22649,22649,22649,22649,22649,22649,22649,22649
6,0,32,1000000,3,1,9,1,1,2,9,12,38,38
6,0,32,1000000,3,2,1196,1,1,2,13,2192,3985,33027
6,0,32,1000000,3,3,626235,215845,267541,355372,588566,983019,1203308,1311499
6,0,32,1000000,3,4,69030,5414,5775,14763,41252,158765,204092,283631
6,0,32,1000000,4,2,265,111,113,120,131,342,1321,1335
6,0,32,1000000,4,3,753781,408976,408976,450196,709094,1292285,1472120,1472120
6,0,32,1000000,4,4,123920,6840,6840,29885,85451,333879,394840,394840


8,0,48,1000000,1,1,11,4,4,5,7,29,33,33
8,0,48,1000000,1,2,138122,21,29,33,70,307646,886119,1633363
8,0,48,1000000,1,3,3147663,987005,1851367,2234531,3211438,3795931,3910042,4281463
8,0,48,1000000,1,4,163365,19045,79326,99736,157083,254242,293298,448941
