NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,1,1,1,89,49,49,56,84,123,124,124
1,1,1,2,49489,11533,15290,19718,43640,83291,93690,102427
1,1,1,3,455264,43137,111411,130614,363673,868841,969991,1141834
1,1,1,4,26960,2468,4041,7017,20579,54951,67546,82369
1,1,1,5,158,60,60,110,138,221,333,333
1,1,2,1,46,20,20,20,49,78,78,78
1,1,2,2,14038,6843,6843,6843,11420,31834,31834,31834
1,1,2,3,371546,137789,137789,137789,290010,837910,837910,837910
1,1,2,4,32817,13937,13937,13937,27114,71435,71435,71435
1,1,2,5,32,20,20,20,30,45,45,45
1,1,3,1,60,57,57,57,63,63,63,63
1,1,3,2,9,2,2,2,12,13,13,13
1,1,3,3,138763,115459,115459,115459,122099,178732,178732,178732
1,1,3,4,11920,8028,8028,8028,10158,17575,17575,17575
1,1,3,5,102,102,102,102,102,102,102,102
1,1,4,1,34,14,14,14,41,50,50,50
1,1,4,2,4999,2353,2353,2353,5670,8207,8207,8207
1,1,4,3,190812,76172,76172,76172,189268,351955,351955,351955
1,1,4,4,17556,9433,9433,9433,20368,26119,26119,26119
1,1,4,5,24,18,18,18,27,28,28,28

10,1,1,1,83,25,25,48,72,165,201,201
10,1,1,2,51843,9215,11841,16620,52075,93067,130453,144395
10,1,1,3,492626,34343,128479,183955,463991,811034,1099651,1405230
10,1,1,4,32117,1720,6859,7120,30254,56005,73006,86539
10,1,1,5,131,73,73,74,123,163,272,272
10,1,2,1,58,26,26,26,64,107,107,107
10,1,2,2,10944,4571,4571,4571,13193,15174,15174,15174
10,1,2,3,339841,88355,88355,88355,277391,899836,899836,899836
10,1,2,4,31415,9448,9448,9448,27392,81359,81359,81359
10,1,2,5,30,20,20,20,29,51,51,51
10,1,4,1,33,26,26,26,34,40,40,40
10,1,4,2,4415,2310,2310,2310,4679,6256,6256,6256
10,1,4,3,291262,163933,163933,163933,202645,507208,507208,507208
10,1,4,4,32191,18478,18478,18478,20343,57753,57753,57753
10,1,4,5,29,28,28,28,29,30,30,30


12,1,1,1,1832,39,39,63,106,324,27497,27497
12,1,1,2,70883,9238,14337,22080,61275,140773,164551,172330
12,1,1,3,770434,105116,140594,213425,740917,1381876,1441547,1573554
12,1,1,4,42139,2722,7517,9682,39693,72062,79707,84752
12,1,1,5,333,83,83,100,202,711,1205,1205
12,1,2,1,52,19,19,19,35,117,117,117
12,1,2,2,10866,4788,4788,4788,9248,17520,17520,17520
12,1,2,3,326845,88170,88170,88170,302620,817275,817275,817275
12,1,2,4,30630,9366,9366,9366,28283,79974,79974,79974
12,1,2,5,28,17,17,17,30,41,41,41
12,1,3,1,74,35,35,35,63,159,159,159
12,1,3,2,5,1,2,2,6,11,13,13
12,1,3,3,322619,78169,98310,105995,268020,687853,873248,873248
12,1,3,4,27435,4966,5004,5070,17075,95263,125173,125173
12,1,3,5,104,45,45,45,136,161,161,161
12,1,4,1,42,24,24,24,41,77,77,77
12,1,4,2,4802,2388,2388,2388,3428,8236,8236,8236
12,1,4,3,232845,166239,166239,166239,234227,333511,333511,333511
12,1,4,4,28290,20035,20035,20035,26796,39758,39758,39758
12,1,4,5,31,28,28,28,29,37,37,37

13,1,1,1,164,38,42,45,126,348,356,366
13,1,1,2,95607,12214,21428,28841,76011,199729,223425,247891
13,1,1,3,1174846,165819,214514,257560,934139,1738600,4598444,5867937
13,1,1,4,58213,6433,12288,15493,54895,93102,105576,113736
13,1,1,5,363,103,105,127,239,824,911,911
13,1,2,1,50,23,23,23,52,72,72,72
13,1,2,2,10689,6901,6901,6901,10216,15170,15170,15170
13,1,2,3,378449,82640,82640,82640,248771,918287,918287,918287
13,1,2,4,32342,9330,9330,9330,23633,75621,75621,75621
13,1,2,5,44,18,18,18,26,139,139,139
13,1,3,1,80943,20,20,35,65,394531,737751,737751
13,1,3,2,85,1,1,2,8,18,40,5565
13,1,3,3,517719,36103,76018,95762,253198,1443924,1617794,2471349
13,1,3,4,35096,1337,3560,5170,14874,37930,71058,773417
13,1,3,5,1048,52,52,53,132,716,12684,12684
13,1,4,1,47527,15,16,18,27,175,539635,543091
13,1,4,2,4048,255,259,1516,2390,8197,8228,26550
13,1,4,3,561607,72521,103836,123343,302311,1688936,2422736,2449235
13,1,4,4,59924,9153,12561,12821,31573,55848,62188,838807
13,1,4,5,38,21,22,23,32,40,52,248

14,1,1,1,106,31,31,34,103,152,312,312
14,1,1,2,69022,14835,18576,23077,65304,122522,141831,146466
14,1,1,3,752061,104861,138018,165350,681140,1496540,1562438,1794194
14,1,1,4,44044,3582,6723,7376,43172,83597,93521,113106
14,1,1,5,212,61,61,93,176,447,509,509
14,1,2,1,57,20,20,20,40,154,154,154
14,1,2,2,9553,5008,5008,5008,7134,16526,16526,16526
14,1,2,3,359585,119349,119349,119349,308449,742332,742332,742332
14,1,2,4,33108,9949,9949,9949,28532,65352,65352,65352
14,1,2,5,33,23,23,23,30,53,53,53
14,1,3,1,41,34,34,34,42,52,52,52
14,1,3,2,4,0,0,1,5,7,10,10
14,1,3,3,382185,200864,200864,205747,289147,710971,801104,801104
14,1,3,4,30635,4923,4923,11304,26189,56762,100604,100604
14,1,3,5,99,52,52,52,135,144,144,144
14,1,4,1,32,21,21,21,30,45,45,45
14,1,4,2,3316,1517,1517,1517,2363,5569,5569,5569
14,1,4,3,299098,201864,201864,201864,257121,518940,518940,518940
14,1,4,4,39993,23944,23944,23944,24453,64000,64000,64000
14,1,4,5,31,24,24,24,30,39,39,39


16,1,1,1,137,33,49,60,109,303,363,381
16,1,1,2,83359,9216,11156,16455,62829,159226,207657,285715
16,1,1,3,1282329,114404,181937,203401,800719,1869847,4826289,7036984
16,1,1,4,79100,3398,7303,10124,52829,103379,127323,717038
16,1,1,5,364,71,89,110,184,893,963,972
16,1,2,1,51,33,33,33,47,76,76,76
16,1,2,2,10400,6861,6861,6861,9442,16249,16249,16249
16,1,2,3,318329,88105,88105,88105,240333,752120,752120,752120
16,1,2,4,28315,9453,9453,9453,24210,61892,61892,61892
16,1,2,5,30,20,20,20,30,45,45,45
16,1,3,1,105009,25,25,27,77,540675,569185,569185
16,1,3,2,8,0,1,1,8,15,25,51
16,1,3,3,799793,30407,63679,132286,781780,1796907,1858411,2615105
16,1,3,4,120100,7,2623,5094,17220,632605,771674,1242669
16,1,3,5,93,42,42,52,98,173,177,177
16,1,4,1,12759,16,22,24,35,78,84,343477
16,1,4,2,4729,481,779,945,4015,9405,10063,13030
16,1,4,3,642870,53766,107265,163475,231032,2519567,3084800,3118424
16,1,4,4,36031,6787,11284,11862,28814,67747,69835,90251
16,1,4,5,231,19,22,26,31,44,57,4611

17,1,1,1,152,45,53,54,119,336,344,379
17,1,1,2,98628,9283,16361,23484,88805,199080,244386,285610
17,1,1,3,1771952,118173,212154,304135,1112811,5167984,6207462,7362742
17,1,1,4,75440,2239,7789,13797,52686,106522,123072,685475
17,1,1,5,351,73,85,98,224,898,932,959
17,1,2,1,80,58,58,58,73,117,117,117
17,1,2,2,14407,9624,9624,9624,11642,22492,22492,22492
17,1,2,3,291722,84699,84699,84699,269663,557432,557432,557432
17,1,2,4,29349,9461,9461,9461,27451,61227,61227,61227
17,1,2,5,30,21,21,21,32,39,39,39
17,1,3,1,156718,14,17,22,63,551864,562279,668606
17,1,3,2,394,0,1,1,7,16,23,22290
17,1,3,3,1860003,50680,95265,226328,1871175,3117630,3371494,4909634
17,1,3,4,189163,675,5139,6581,37624,743092,776456,1223712
17,1,3,5,14339,37,46,50,81,160,191,755308
17,1,4,1,65891,10,10,11,27,432860,640836,686199
17,1,4,2,6249,340,1271,2203,2911,20890,25146,31182
17,1,4,3,1673275,44879,115771,156691,1066190,4373056,4644686,5374261
17,1,4,4,209254,5322,10707,18837,46925,806739,846521,1383223
17,1,4,5,34,19,21,25,32,46,52,79

18,1,1,1,139,27,47,68,116,261,384,406
18,1,1,2,105482,9658,18051,29064,87950,202041,221539,280501
18,1,1,3,2093054,177161,304823,377245,1154715,6695908,7166767,8667348
18,1,1,4,146379,3706,14535,19943,62668,655681,786814,1413894
18,1,1,5,427,67,78,81,278,905,1002,1183
18,1,2,1,70,26,26,26,81,111,111,111
18,1,2,2,11778,7379,7379,7379,12169,14788,14788,14788
18,1,2,3,329622,136130,136130,136130,311666,565677,565677,565677
18,1,2,4,30592,14051,14051,14051,31740,47736,47736,47736
18,1,2,5,31,24,24,24,31,40,40,40
18,1,3,1,93874,20,27,30,49,510614,653234,728149
18,1,3,2,1812,0,1,1,6,29,16823,39628
18,1,3,3,1457832,52458,94390,169115,1577708,2730364,3297235,4250985
18,1,3,4,202632,552,4997,5534,29151,750986,775797,1469175
18,1,3,5,136,41,43,51,82,157,205,2263
18,1,4,1,99049,10,15,18,37,477510,624641,718679
18,1,4,2,5375,217,310,563,3653,12684,17595,21612
18,1,4,3,1459991,95037,178796,194277,981385,3581429,4164072,4317287
18,1,4,4,176695,9871,15756,22574,45795,777616,794629,1353056
18,1,4,5,313,20,22,24,33,67,4354,6734

