NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
60,0,1,4,3000000,27.627586,27.721039,51.551406,59.332750,64.196090
61,0,1,4,3000000,26.989423,26.262037,50.578737,63.223422,63.223422
62,0,1,8,3000000,39.738551,43.770061,59.089583,74.409104,78.786110
63,0,1,8,3000000,36.856181,32.827546,70.032098,102.130143,105.048147
65,0,1,12,3000000,47.546159,49.606069,75.868106,102.130143,107.966151
66,0,1,12,3000000,51.754736,56.609279,77.327108,107.966151,110.884155
67,1,1,4,3000000,12.175059,15.319521,18.967027,23.344033,24.073534
69,1,1,4,3000000,11.701544,13.617352,20.426029,24.803035,27.721039
70,1,1,8,3000000,15.330559,14.590020,32.098045,43.770061,46.688065
71,1,1,8,3000000,11.632646,3.647505,31.125377,42.311059,52.524074
73,2,1,4,3000000,21.239984,21.398697,41.581558,56.414746,61.278086
74,2,1,4,3000000,25.376103,25.289369,48.438868,56.171579,57.387414
76,2,1,8,3000000,35.640108,33.070713,70.032098,99.212139,107.966151
77,2,1,8,3000000,40.566439,43.770061,67.114094,105.048147,107.966151
78,2,1,12,3000000,24.280164,8.754012,63.612489,84.622118,107.966151
79,2,1,12,3000000,25.478596,14.590020,61.278086,78.786110,99.212139
