NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,5,8,3000000,10.003106,2.918004,32.098045,63.028888,72.220601
2,2,5,8,3000000,12.747148,2.918004,40.852057,84.622118,105.048147
3,2,5,8,3000000,14.601938,2.918004,43.770061,71.977434,99.212139
4,2,5,12,3000000,19.353281,4.377006,52.524074,70.032098,93.376131
5,2,5,12,3000000,17.322852,3.501605,53.496742,74.895438,84.622118
6,2,5,16,3000000,26.043961,8.754012,66.141426,81.704114,96.294135
7,2,5,16,3000000,21.558293,8.754012,61.278086,78.786110,88.999125
8,2,5,16,3000000,23.634161,8.754012,64.779691,83.649450,93.376131
