NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,2,0,8,3000000,27.304722,14.317673,65.715884,76.062640,85.011186
2,2,0,8,3000000,20.450012,4.474273,64.429530,69.798658,82.774049
3,2,0,8,3000000,21.401219,13.422819,58.165548,76.062640,81.655481
4,2,0,12,3000000,19.089982,7.888850,53.691275,69.798658,81.655481
5,2,0,12,3000000,21.042444,8.368548,59.060403,69.798658,69.798658
6,2,0,16,3000000,18.494901,8.399074,50.111857,65.324385,79.418345
7,2,0,16,3000000,20.054921,7.807150,53.691275,66.368382,69.798658
8,2,0,16,3000000,17.443515,7.614114,46.532438,69.351230,78.299776
