NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
9,0,0,4,3000000,1209697,484.5,1926,1468,2447,4194,0,1491,1707,2720,2720,760,958,0,0
10,0,0,4,3000000,1102232,441.5,1983,1631,2636,4331,0,1116,997,2743,2853,1196,935,0,536
11,0,0,4,3000000,1282317,513.6,2006,1355,2346,3867,0,1575,2228,2600,2600,323,985,0,0
12,0,0,4,3000000,1300230,520.8,2024,1364,2313,4147,0,1485,2032,2341,2341,747,814,0,0
13,0,0,4,3000000,1288618,516.1,1870,1454,2381,3911,0,1336,1126,2778,2778,909,1006,0,0
14,0,0,4,3000000,1269452,508.5,2057,1343,2283,4150,0,1478,1207,2997,2997,862,785,0,0
15,0,0,4,3000000,1161194,465.1,1878,1602,2620,4441,0,1211,1321,2376,2376,1334,838,0,0
16,0,0,4,3000000,1091454,437.2,1852,1615,2604,4393,0,1396,1361,2355,2355,1370,187,0,0
17,1,0,4,3000000,1771779,709.7,1485,1193,1874,3603,0,393,296,971,1329,3551,1100,0,743
18,1,0,4,3000000,2075673,831.4,1310,1186,1759,3344,0,366,359,704,818,4032,1060,0,872
19,1,0,4,3000000,1356128,543.2,1654,1526,2428,3744,0,265,215,456,926,3680,1023,0,926
20,1,0,4,3000000,1433978,574.4,1604,1434,2368,3755,0,352,325,530,1323,3710,917,0,719
21,1,0,4,3000000,1729260,692.6,1495,1206,1963,3273,0,448,358,933,1163,3142,1062,0,571
22,1,0,4,3000000,1532455,613.8,1517,1352,2249,3942,0,249,217,422,626,4160,1020,0,805
24,1,0,4,3000000,2002951,802.3,1308,1166,1830,3319,0,475,385,1031,1191,3807,1061,0,610
25,1,0,4,3000000,1349858,540.7,1684,1560,2474,3845,0,245,218,345,1044,4064,1005,0,857
