compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
2,3,1,3000000,1.043072,0.838926,1.258389,5.033557,7.550336
2,3,1,3000000,0.965542,0.838926,1.258389,3.355705,5.872483
2,3,1,3000000,1.109048,0.838926,1.677852,5.872483,6.711409
2,3,2,3000000,1.596973,0.838926,4.194631,12.164430,16.778523
2,3,2,3000000,1.349523,0.838926,3.355705,8.389262,11.744966
2,3,2,3000000,1.280362,0.838926,1.677852,10.067114,18.456376
2,3,4,3000000,2.247298,0.838926,7.829978,18.036913,26.845638
2,3,4,3000000,2.031679,0.838926,6.291946,17.617450,25.167785
2,3,4,3000000,2.034879,0.838926,5.592841,19.295302,25.167785
2,3,8,3000000,3.901528,0.838926,14.261745,26.006711,31.879195
2,3,8,3000000,3.686908,0.838926,13.842282,28.523490,32.718121
2,3,8,3000000,3.935174,0.838926,14.681208,29.362416,35.234899
2,3,12,3000000,4.536449,1.258389,15.520134,28.523490,35.234899
2,3,12,3000000,4.744775,1.258389,16.359060,31.040268,37.751678
2,3,12,3000000,4.299174,0.838926,15.939597,33.557047,37.751678
