compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
2,0,1,3000000,0.060366,0.000000,0.279642,0.838926,0.838926
2,0,1,3000000,0.069768,0.000000,0.279642,0.838926,0.838926
2,0,1,3000000,0.065096,0.000000,0.279642,0.838926,0.838926
2,0,2,3000000,0.104617,0.000000,0.419463,0.838926,1.258389
2,0,2,3000000,0.099349,0.000000,0.419463,0.838926,0.838926
2,0,2,3000000,0.130126,0.000000,0.419463,0.838926,1.258389
2,0,4,3000000,0.167719,0.000000,0.559284,1.258389,1.615710
2,0,4,3000000,0.137091,0.000000,0.419463,1.118568,1.617929
2,0,4,3000000,0.166306,0.000000,0.559284,0.838926,1.258389
2,0,8,3000000,0.176478,0.000000,0.559284,1.258389,1.652430
2,0,8,3000000,0.164125,0.000000,0.559284,0.859899,1.619995
2,0,8,3000000,0.149436,0.000000,0.559284,0.838926,1.266304
2,0,12,3000000,0.187107,0.000000,0.792319,0.855059,1.531952
2,0,12,3000000,0.190304,0.000000,0.821077,0.846158,1.468121
2,0,12,3000000,0.179155,0.000000,0.559284,0.854179,1.641770
