compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90
2,1,1,3000000,792135,317.3,920,1777,3324,195898552,267,651,651
2,1,1,3000000,785819,314.8,938,1711,3327,866984024,273,785,785
2,1,1,3000000,814966,326.4,879,1697,3304,1001204920,332,716,716
2,1,2,3000000,840806,336.8,1517,2571,4253,1740807752,189,722,1000
2,1,2,3000000,805320,322.6,1570,2551,4171,70880904,447,1104,1259
2,1,2,3000000,963284,385.8,1316,2410,4068,0,280,976,1351
2,1,4,3000000,1488237,596.1,1439,2400,3665,1044654952,1121,1313,1313
2,1,4,3000000,1429583,572.6,1171,1794,3245,272902504,475,2359,2436
2,1,4,3000000,1655043,662.9,1337,2237,3758,597961928,910,1258,1258
2,1,8,3000000,1358591,544.2,1746,2814,4602,2111380880,1041,2193,2236
2,1,8,3000000,1545946,619.2,1576,2602,4014,0,1238,2249,2446
2,1,8,3000000,1433924,574.3,1556,2617,4128,0,317,2153,2784
2,1,12,3000000,624192,250.0,1675,2783,4452,0,716,1932,9888
2,1,12,3000000,579202,232.0,1736,2811,4511,103978824,728,1849,12841
2,1,12,3000000,704853,282.3,1654,2797,4501,0,1077,2829,13040
