NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
24,2,1,4,3000000,1205459,482.8,1624,2655,6598,0,665,1111,1313,1833,875,0,1179
25,2,1,4,3000000,1413617,566.2,1425,2402,5985,0,629,1299,1786,1824,957,0,1239
27,2,1,4,3000000,1284576,514.5,1525,2471,4089,2114291112,349,552,989,3091,701,1589,834
28,2,1,4,3000000,2103232,842.4,1135,1701,3232,1014175400,328,1034,1039,3516,583,3245,949
30,2,1,4,3000000,1355989,543.1,1269,2193,3742,1011100008,666,2313,2314,2813,817,1314,401
31,2,1,4,3000000,1451074,581.2,1286,2157,3543,2072259752,260,918,2228,3580,810,2863,846
32,2,1,4,3000000,2133346,854.5,1129,1683,3232,0,257,426,555,4220,1034,1593,1085

34,2,1,4,3000000,2055632,823.4,1105,1615,3229,1481776376,441,816,1941,2920,966,0,668
35,2,1,4,3000000,1361167,545.2,1476,2451,3847,909487736,305,2548,2705,2812,959,853,927
36,2,1,4,3000000,1387976,555.9,1434,2414,3844,868510968,391,1403,2120,3907,928,961,578
37,2,1,4,3000000,1853279,742.3,1118,1646,3146,0,718,993,1726,2673,945,1862,367
38,2,1,4,3000000,1773440,710.3,1156,1794,3270,2016583896,1022,1628,1723,2548,972,225,250
39,2,1,4,3000000,1309126,524.4,1506,2423,3654,0,395,1954,1992,3333,968,646,501
40,2,1,4,3000000,1403299,562.1,1292,2236,3563,0,372,2422,2514,3207,945,1062,416

