NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,3,1,3000000,3.747280,3.050641,3.813301,15.253203,16.015863
2,0,3,1,3000000,3.958416,3.050641,6.101281,18.303844,18.303844
3,0,3,1,3000000,3.990787,3.050641,3.050641,16.270083,19.320724
4,0,3,1,3000000,3.952148,3.050641,5.338621,15.253203,18.303844
5,0,3,2,3000000,5.059951,3.050641,12.202563,33.557047,41.692089
6,0,3,2,3000000,5.129813,3.050641,9.151922,42.708969,64.063453
7,0,3,4,3000000,7.444387,3.050641,23.388245,56.945292,66.351434
8,0,3,4,3000000,8.828007,3.050641,28.218426,54.911531,67.114094
9,0,3,8,3000000,16.227109,3.050641,61.012813,80.841977,91.519219
10,0,3,8,3000000,14.878942,3.050641,54.911531,76.266016,88.468578
11,0,3,12,3000000,22.540907,3.050641,63.300793,79.316656,83.384177
12,0,3,12,3000000,21.484382,3.050641,64.673581,78.299776,81.350417
13,0,3,12,3000000,22.114243,3.050641,67.114094,88.468578,106.772422
14,0,3,12,3000000,20.810871,3.050641,62.029693,100.671141,106.772422
15,1,3,1,3000000,3.797346,3.050641,7.118161,12.965223,14.490543
16,1,3,1,3000000,3.697165,3.050641,6.101281,12.202563,13.727883
17,1,3,2,3000000,4.358156,3.050641,7.626602,19.829164,27.455766
18,1,3,2,3000000,4.224626,3.050641,6.101281,19.829164,21.354484
19,1,3,4,3000000,4.979514,3.050641,9.151922,25.422005,36.607688
20,1,3,4,3000000,5.425690,3.050641,15.253203,24.405125,30.506406
21,1,3,8,3000000,10.022990,3.050641,31.269067,42.708969,48.810250
22,1,3,8,3000000,8.267573,3.660769,26.693106,35.082367,57.962172
23,1,3,12,3000000,12.688430,6.101281,41.946309,53.386211,59.487492
24,1,3,12,3000000,12.944995,3.813301,44.234289,70.164735,79.316656
25,2,3,1,3000000,4.011129,3.050641,6.101281,15.253203,17.286964
26,2,3,1,3000000,3.872103,3.050641,6.101281,15.253203,21.354484
27,2,3,1,3000000,3.862094,3.050641,3.813301,15.253203,18.303844
28,2,3,2,3000000,4.876398,3.050641,7.626602,32.946919,53.386211
29,2,3,2,3000000,4.910316,3.050641,8.541794,35.387431,58.979052
30,2,3,4,3000000,8.438864,3.050641,27.455766,64.063453,74.740696
31,2,3,4,3000000,7.827167,3.050641,25.015253,61.012813,73.215375
32,2,3,8,3000000,16.476102,3.050641,56.945292,81.350417,106.772422
33,2,3,8,3000000,14.064107,3.050641,48.810250,73.215375,77.791336
34,2,3,12,3000000,18.479570,7.626602,54.148871,79.316656,109.823063
35,2,3,12,3000000,18.726957,8.389262,56.945292,82.367297,106.772422
