NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,16,2000000,1,1,18,6,6,7,15,30,69,69
1,0,16,2000000,1,2,1135,10,13,17,44,162,244,80094
1,0,16,2000000,1,3,1034793,286162,363007,466745,1083454,1550117,1618640,1778623
1,0,16,2000000,1,4,179418,3303,5295,7203,102059,479841,551486,637153
1,0,16,2000000,2,2,11428,6616,6616,6616,13692,13977,13977,13977
1,0,16,2000000,2,3,285293,121630,121630,121630,289233,445018,445018,445018
1,0,16,2000000,2,4,26383,10640,10640,10640,26349,42162,42162,42162
1,0,16,2000000,3,1,5,3,3,3,3,17,17,17
1,0,16,2000000,3,2,12,1,2,2,9,19,54,57
1,0,16,2000000,3,3,278364,47181,67195,121005,293724,446413,480089,480758
1,0,16,2000000,3,4,15493,4321,5528,6191,9267,32919,35669,113838
1,0,16,2000000,4,2,10196,127,166,177,1539,24099,32634,109129
1,0,16,2000000,4,3,474386,156604,166149,196470,384626,1164840,1217301,1217810
1,0,16,2000000,4,4,38134,10323,16804,23228,28909,73162,91631,137874

2,0,16,2000000,1,1,19,7,7,9,19,29,38,38
2,0,16,2000000,1,2,289,9,15,17,49,116,147,257
2,0,16,2000000,1,3,996583,265070,397180,467246,951363,1532188,1708620,1923272
2,0,16,2000000,1,4,159596,1965,6344,8700,74644,457375,519259,610730
2,0,16,2000000,2,2,9931,6511,6511,6511,13352,13352,13352,13352
2,0,16,2000000,2,3,200154,104414,104414,104414,295895,295895,295895,295895
2,0,16,2000000,2,4,18563,10759,10759,10759,26368,26368,26368,26368
2,0,16,2000000,3,1,40,3,3,3,14,223,223,223
2,0,16,2000000,3,2,12,2,3,4,14,19,20,20
2,0,16,2000000,3,3,381098,129353,130785,143475,277126,802645,877899,1036126
2,0,16,2000000,3,4,157092,4896,7603,8266,46039,416825,464122,525061
2,0,16,2000000,4,2,5905,100,115,146,439,17609,23864,24309
2,0,16,2000000,4,3,510902,216805,217026,246787,437266,997623,1124831,1250074
2,0,16,2000000,4,4,130614,19775,20751,21383,40181,406127,428760,550980

3,0,8,2000000,1,1,19,2,2,2,19,36,36,36
3,0,8,2000000,1,2,123317,17,23,24,49,509020,1034931,1946689
3,0,8,2000000,1,3,872910,177927,277857,452422,871780,1130837,1964255,2156988
3,0,8,2000000,1,4,188546,2680,6936,9430,189885,388337,425436,464171
3,0,8,2000000,2,2,10084,10084,10084,10084,10084,10084,10084,10084
3,0,8,2000000,2,3,158039,158039,158039,158039,158039,158039,158039,158039
3,0,8,2000000,2,4,15941,15941,15941,15941,15941,15941,15941,15941
3,0,8,2000000,4,2,14416,12859,12859,12859,15974,15974,15974,15974
3,0,8,2000000,4,3,193558,155243,155243,155243,231873,231873,231873,231873
3,0,8,2000000,4,4,38970,30831,30831,30831,47109,47109,47109,47109

4,0,8,2000000,1,1,20,5,5,7,24,39,39,39
4,0,8,2000000,1,2,3562,12,16,20,45,120,157,82939
4,0,8,2000000,1,3,798952,201460,295027,389623,729280,1701631,2019513,2171541
4,0,8,2000000,1,4,84538,1935,2861,5079,12784,393955,468064,612033
4,0,8,2000000,2,2,6628,6628,6628,6628,6628,6628,6628,6628
4,0,8,2000000,2,3,162785,162785,162785,162785,162785,162785,162785,162785
4,0,8,2000000,2,4,16222,16222,16222,16222,16222,16222,16222,16222
4,0,8,2000000,4,2,14970,11444,11444,11444,13223,20244,20244,20244
4,0,8,2000000,4,3,243926,141800,141800,141800,285943,304037,304037,304037
4,0,8,2000000,4,4,20229,10849,10849,10849,23315,26524,26524,26524

5,1,16,2000000,1,1,100,22,22,30,60,280,311,311
5,1,16,2000000,1,2,1622846,137376,137376,153995,259101,8268567,10594328,10594328
5,1,16,2000000,1,3,139,34,34,39,107,390,394,394
5,1,16,2000000,2,1,5138,38,38,38,90,20370,20370,20370
5,1,16,2000000,2,2,521195,114855,114855,114855,714046,758900,758900,758900
5,1,16,2000000,2,3,64,32,32,32,81,108,108,108
5,1,16,2000000,3,1,58,23,23,28,51,110,135,149
5,1,16,2000000,3,2,1260058,131182,133575,149649,238283,3416512,3540438,11524969
5,1,16,2000000,3,3,78,16,21,27,58,185,232,262
5,1,16,2000000,4,1,41,14,16,16,37,79,97,159
5,1,16,2000000,4,2,1251650,25945,61109,124294,258027,4223838,6945689,8907787
5,1,16,2000000,4,3,28,9,11,13,25,51,53,102


7,1,16,2000000,1,1,134,44,44,48,92,358,492,492
7,1,16,2000000,1,2,2457865,116799,116799,150134,232607,11159113,16044692,16044692
7,1,16,2000000,1,3,153,32,32,40,134,309,373,373
7,1,16,2000000,2,1,3475,21,21,21,49,18537,18537,18537
7,1,16,2000000,2,2,446392,169205,169205,169205,499825,702455,702455,702455
7,1,16,2000000,2,3,67,32,32,32,67,104,104,104
7,1,16,2000000,3,1,76,22,26,36,65,138,139,236
7,1,16,2000000,3,2,2162440,117942,138451,163306,1316298,5023682,5114640,10542834
7,1,16,2000000,3,3,71,15,21,23,69,107,144,165
7,1,16,2000000,4,1,1294,13,17,19,42,94,97,36305
7,1,16,2000000,4,2,2042611,107905,151828,161763,1301224,5029855,10357965,10439725
7,1,16,2000000,4,3,36,12,13,15,34,66,80,101

8,1,8,2000000,1,1,3759,24,33,37,70,8337,65589,65589
8,1,8,2000000,1,2,231261,118360,118360,161568,230676,310196,343487,343487
8,1,8,2000000,1,3,97,28,28,49,96,147,153,153
8,1,8,2000000,2,1,8923,33,33,33,17813,17813,17813,17813
8,1,8,2000000,2,2,304104,113597,113597,113597,494611,494611,494611,494611
