NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
24,2,3,4,3000000,16.983794,18.967027,23.344033,25.289369,25.289369
25,2,3,8,3000000,11.106100,7.295010,22.371365,37.934053,43.770061
27,2,3,8,3000000,10.810487,8.754012,21.398697,35.016049,55.442078
28,2,3,12,3000000,7.959322,5.836008,11.672016,30.639043,35.016049
30,2,3,12,3000000,10.279892,5.836008,22.371365,43.770061,52.524074
31,2,3,16,3000000,7.978208,5.836008,14.590020,35.016049,41.824725
32,2,3,16,3000000,7.886168,5.836008,11.672016,29.909542,37.934053
34,2,3,16,3000000,8.635266,5.836008,16.924424,51.065071,72.950102
35,2,3,16,3000000,10.036908,5.836008,20.426029,59.332750,78.786110
36,2,3,12,3000000,13.061121,6.565509,31.125377,53.496742,70.032098
37,2,3,12,3000000,9.127451,5.836008,18.967027,43.770061,61.278086
38,2,3,12,3000000,11.542611,8.754012,23.344033,49.606069,78.786110
39,2,3,8,3000000,21.246855,19.696528,39.879389,67.114094,90.458127
40,2,3,8,3000000,18.870000,8.754012,42.311059,80.245112,107.966151
