NO,compactor,current_node_id,thread,ops_per_thread,type,time
1,2,3,8,1000000,local,8
1,2,3,8,1000000,node 0,1

2,2,3,8,1000000,local,10

3,2,3,8,1000000,local,11

4,2,3,8,1000000,local,13


6,2,3,8,1000000,local,13

7,2,3,8,1000000,local,10
7,2,3,8,1000000,node 1,1

8,2,3,8,1000000,local,11
8,2,3,8,1000000,node 1,1

9,2,3,8,1000000,local,12

