NO,compactor,current_node_id,thread,ops_per_thread,type,time
27,2,5,4,3000000,local,10
27,2,5,4,3000000,node 0,22
27,2,5,4,3000000,node 1,2
29,2,5,4,3000000,local,6
29,2,5,4,3000000,node 0,10
30,2,5,8,3000000,local,7
30,2,5,8,3000000,node 0,25
30,2,5,8,3000000,node 1,2
30,2,5,8,3000000,node 3,2
31,2,5,8,3000000,local,10
31,2,5,8,3000000,node 0,24
31,2,5,8,3000000,node 1,2
31,2,5,8,3000000,node 3,5
33,2,5,12,3000000,local,28
33,2,5,12,3000000,node 0,60
33,2,5,12,3000000,node 1,7
33,2,5,12,3000000,node 3,3
34,2,5,12,3000000,local,21
34,2,5,12,3000000,node 0,56
34,2,5,12,3000000,node 1,4
34,2,5,12,3000000,node 3,6
36,2,5,16,3000000,local,37
36,2,5,16,3000000,node 0,83
36,2,5,16,3000000,node 1,14
36,2,5,16,3000000,node 3,3
37,2,5,16,3000000,local,30
37,2,5,16,3000000,node 0,76
37,2,5,16,3000000,node 1,11
37,2,5,16,3000000,node 3,6
