NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
27,2,3,4,3000000,21.582929,20.973154,35.654362,58.724832,62.919463
29,2,3,4,3000000,29.492178,29.362416,57.326622,65.715884,71.308725
30,2,3,8,3000000,14.979248,9.437919,32.158837,46.140940,50.335570
31,2,3,8,3000000,15.119048,10.486577,31.459732,44.043624,48.238255
33,2,3,12,3000000,13.127382,8.389262,29.362416,50.335570,60.822148
34,2,3,12,3000000,12.411566,8.389262,25.167785,54.530201,75.503356
36,2,3,16,3000000,12.196385,8.389262,20.973154,61.521253,79.697987
37,2,3,16,3000000,11.700496,8.389262,20.973154,62.919463,79.697987
