NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
32,0,0,8,3000000,1.042938,0.000000,3.579418,7.139797,8.559479
33,0,0,8,3000000,1.082763,0.000000,3.728561,5.965697,8.202834
34,0,0,12,3000000,0.705456,0.000000,2.684564,4.607833,8.477570
35,0,0,12,3000000,0.707115,0.000000,2.237136,5.369128,8.773084
36,0,0,16,3000000,0.689125,0.000000,2.556727,5.592841,12.132163
37,0,0,16,3000000,0.756989,0.000000,2.237136,4.474273,11.668202
38,1,0,8,3000000,30.945086,27.740492,65.324385,74.944072,74.944072
39,1,0,8,3000000,35.176388,39.771315,68.008949,81.655481,81.655481
41,1,0,12,3000000,25.223466,14.317673,62.639821,78.299776,81.655481
42,1,0,12,3000000,28.479605,21.252796,63.534676,71.588367,80.536913
