NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
32,0,2,8,3000000,1204859,482.6,2992,1822,2860,4552,0,1018,515,2281,3051,651,877,892,956
33,0,2,8,3000000,1113410,446.0,3343,1823,2861,4660,0,1253,426,3201,4138,355,862,2432,976
34,0,2,12,3000000,1277519,511.7,3468,1807,2816,4885,0,707,459,1810,2466,521,1000,1761,660
35,0,2,12,3000000,1169740,468.5,4422,1749,2796,5160,0,784,460,1917,4008,485,751,1725,670
36,0,2,16,3000000,1156388,463.2,5956,1851,2908,5417,0,812,519,1994,2761,443,494,1167,592
37,0,2,16,3000000,1149797,460.5,5872,1853,2905,4947,0,858,601,2004,2732,375,642,980,609
38,1,2,8,3000000,749789,300.3,1223,1633,2659,4908,0,1463,543,3359,10228,3187,632,1067,537
39,1,2,8,3000000,1053543,422.0,1489,1524,2504,4450,0,1501,851,3766,7584,1994,1001,1345,479
41,1,2,12,3000000,606234,242.8,3086,1776,2788,5180,0,1994,1678,3651,6638,3149,1066,583,361
42,1,2,12,3000000,626477,250.9,2565,1759,2810,5056,0,2052,2051,4160,12210,2439,995,916,259
