compactor,node_id,thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,0,8,3000000,1775550,711.2,3.037653,0.838926,9.647651,13.842282,13.140417,13.003355,24.538590,34.605705,1394,2334,4024,8069
1,0,16,3000000,1396531,559.4,7.743723,7.130873,17.617450,21.182886,14.293905,13.632551,25.027964,35.444631,1766,2752,4832,9332
1,0,32,3000000,1287982,556.0,19.264591,22.930649,34.815436,37.751678,12.929773,12.024608,23.699665,33.976510,1927,2860,4528,9170
