compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,1,1,3000000,0.979996,0.838926,1.677852,3.355705,4.194631
1,1,1,3000000,1.060954,0.838926,1.677852,3.355705,4.194631
1,1,1,3000000,0.901399,0.838926,1.258389,3.355705,4.194631
1,1,1,3000000,0.864017,0.838926,1.258389,2.516779,4.194631
1,1,1,3000000,0.930125,0.838926,1.258389,3.355705,4.194631
1,1,2,3000000,1.017557,0.838926,1.677852,5.033557,5.872483
1,1,2,3000000,1.063165,0.838926,1.258389,4.194631,5.872483
1,1,4,3000000,1.386802,0.838926,3.355705,7.550336,9.228188
1,1,4,3000000,0.887608,0.838926,1.118568,6.711409,7.550336
1,1,8,3000000,1.444231,0.838926,5.453020,10.906040,12.583893
1,1,12,3000000,2.482000,0.838926,9.507830,16.778523,19.295302
1,1,12,3000000,1.952098,0.838926,7.550336,15.939597,19.295302
0,1,1,3000000,0.976626,0.838926,1.258389,3.355705,5.872483
0,1,1,3000000,0.849952,0.838926,1.258389,3.076063,4.194631
0,1,2,3000000,1.009829,0.838926,1.258389,5.872483,13.422819
0,1,2,3000000,1.234416,0.838926,2.097315,7.550336,19.295302
0,1,4,3000000,1.957238,0.838926,5.453020,19.295302,26.006711
0,1,4,3000000,1.625533,0.838926,2.516779,15.939597,20.134228
0,1,8,3000000,3.580038,0.838926,13.422819,27.684564,32.718121
0,1,8,3000000,2.990668,0.838926,12.164430,25.167785,31.040268
0,1,12,3000000,5.120867,0.838926,18.456376,31.040268,37.751678
0,1,12,3000000,4.525393,0.838926,17.617450,31.040268,39.429530
