compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90
1,0,1,3000000,747837,299.5,947,2023,3629,7144,266,433,480
1,0,1,3000000,653028,261.6,1050,2407,4485,13286,289,476,611
1,0,1,3000000,755044,302.4,948,1972,3503,6083,281,431,544
1,0,2,3000000,899137,360.1,1446,2599,5052,18349,224,675,812
1,0,2,3000000,1087609,435.6,1206,2175,4615,7909,208,466,691
1,0,4,3000000,1541235,617.3,1476,2464,4667,9552,187,445,641
1,0,4,3000000,1953172,782.3,1258,1966,4355,12395,155,445,622
1,0,8,3000000,793839,318.0,1687,2641,4563,9000,167,366,12440
1,0,8,3000000,1019081,408.2,1572,2526,4330,888904032,206,569,6342
1,0,12,3000000,555683,222.6,1541,2504,4636,1546348896,379,2590,11214
1,0,12,3000000,553141,221.6,1550,2532,4279,1292863840,701,2840,10861
0,0,1,3000000,665106,266.4,1039,2422,4516,2003286368,263,366,447
0,0,1,3000000,687482,275.4,1010,2231,4111,73398624,244,429,456
0,0,2,3000000,729239,292.1,1781,3007,5350,955365728,387,961,1270
0,0,2,3000000,881665,353.1,1469,2669,4950,0,325,813,870
0,0,4,3000000,1603489,642.3,1477,2412,4936,0,485,958,1376
0,0,4,3000000,1526077,611.3,1463,2539,3931,0,485,901,1013
0,0,8,3000000,1481542,593.4,1714,2808,4446,0,200,1554,1764
0,0,8,3000000,1492020,597.6,1733,2797,4593,533231968,424,1712,1746
0,0,12,3000000,1389132,556.4,1699,2742,4420,0,458,1670,2523
0,0,12,3000000,1276106,511.1,1774,2814,4534,2126707040,356,1166,2489
