NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
25,1,3,4,1000000,17.383749,12.583893,31.459732,35.654362,35.654362
26,1,3,4,1000000,24.405966,16.778523,46.140940,52.432886,52.432886
27,1,3,4,1000000,18.961368,20.973154,29.362416,37.751678,37.751678
28,1,3,4,1000000,21.163376,23.070470,34.955257,39.848993,39.848993
29,1,3,4,1000000,17.123010,12.583893,33.557047,37.751678,37.751678
30,1,3,4,1000000,17.735681,16.778523,29.362416,37.751678,37.751678
31,1,3,4,1000000,18.084533,19.574944,29.362416,33.557047,33.557047
32,1,3,4,1000000,19.898177,16.778523,37.751678,46.140940,46.140940
33,1,3,4,1000000,16.231398,12.583893,33.557047,37.751678,37.751678
34,1,3,4,1000000,19.688843,18.875839,33.557047,41.946309,41.946309
35,0,3,4,1000000,22.305507,11.185682,48.238255,88.087248,88.087248
36,0,3,4,1000000,21.635906,20.973154,37.751678,65.016779,65.016779
37,0,3,4,1000000,22.486911,8.389262,58.724832,75.503356,75.503356
38,0,3,4,1000000,21.067007,20.973154,39.848993,46.140940,46.140940
39,0,3,4,1000000,24.042788,29.362416,39.149888,72.357383,72.357383
40,0,3,4,1000000,19.569804,12.583893,33.557047,52.432886,52.432886
41,0,3,4,1000000,23.502811,29.362416,37.751678,41.946309,41.946309
42,0,3,4,1000000,25.609095,20.973154,51.733781,71.308725,71.308725
43,0,3,4,1000000,25.055749,25.167785,54.530201,65.715884,65.715884
44,0,3,4,1000000,20.043756,12.583893,41.946309,50.335570,50.335570
