NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
25,1,0,4,1000000,2069334,828.9,1329,1117,1858,3812,0,276,199,609,609,4921,1026,0,0
26,1,0,4,1000000,2032460,814.1,1319,1127,1892,3880,0,260,253,338,338,3645,743,0,0
27,1,0,4,1000000,1281792,513.4,1737,1532,2696,4602,0,314,278,590,590,3928,1128,0,1127
28,1,0,4,1000000,1411379,565.3,1617,1389,2524,4363,0,271,200,572,572,3529,1083,0,1165
29,1,0,4,1000000,2067609,828.2,1316,1108,1847,3831,0,249,203,489,489,4352,1094,0,0
30,1,0,4,1000000,2114100,846.8,1287,1103,1789,3725,0,292,260,501,501,3940,1148,0,0
31,1,0,4,1000000,2057873,824.3,1346,1133,1911,3956,0,274,212,506,506,4816,1158,0,0
32,1,0,4,1000000,1463185,586.1,1561,1338,2580,4337,0,255,179,557,557,4961,1156,0,1061
33,1,0,4,1000000,2085531,835.3,1308,1110,1825,3808,0,260,176,535,535,4770,1098,0,0
34,1,0,4,1000000,1377309,551.7,1645,1449,2589,4441,0,280,287,582,582,4347,1095,0,1027
35,0,0,4,1000000,1717266,687.8,1486,1225,2373,4227,0,374,405,488,488,1317,856,0,0
36,0,0,4,1000000,1552203,621.7,1588,1299,2530,4206,0,226,226,226,226,0,580,0,0
37,0,0,4,1000000,1642504,657.9,1525,1202,2334,4266,0,303,315,446,446,1273,954,0,0
38,0,0,4,1000000,1673547,670.3,1475,1161,2181,4075,0,572,370,1144,1144,601,1006,0,0
39,0,0,4,1000000,1297476,519.7,1760,1540,2844,4761,0,378,323,633,633,1959,839,0,0
40,0,0,4,1000000,1838889,736.6,1455,1246,2244,4053,0,432,429,644,644,1170,888,0,0
41,0,0,4,1000000,1705993,683.3,1497,1235,2418,4215,0,440,416,696,696,988,934,0,0
42,0,0,4,1000000,1440725,577.1,1665,1434,2689,4317,0,334,408,566,566,2089,987,0,1240
43,0,0,4,1000000,1551884,621.6,1589,1334,2643,4351,0,452,590,645,645,1355,1023,0,0
44,0,0,4,1000000,1307353,523.7,1753,1539,2757,4592,0,533,461,840,840,1317,973,0,0
