NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99



21,0,16,1000000,1,1,8,3,3,3,6,21,21,21
21,0,16,1000000,1,2,6795,6,7,10,24,779,107966,111361
21,0,16,1000000,1,3,1187170,406484,496177,559036,1195171,2136197,2190948,2254656
21,0,16,1000000,1,4,76026,9108,12763,17289,62107,177678,199906,228488
21,0,16,1000000,2,2,13447,8689,8689,8689,13058,18596,18596,18596
21,0,16,1000000,2,3,330415,199805,199805,199805,301873,489567,489567,489567
21,0,16,1000000,2,4,24788,16740,16740,16740,21255,36369,36369,36369

22,0,16,1000000,1,1,16,5,5,5,17,36,36,36
22,0,16,1000000,1,2,9520,7,9,10,36,24329,82332,119460
22,0,16,1000000,1,3,1343139,459777,658680,714655,1068575,2310111,2352744,2405169
22,0,16,1000000,1,4,78441,7102,8704,21866,77091,130783,169492,303123
22,0,16,1000000,2,2,9327,7513,7513,7513,8892,11576,11576,11576
22,0,16,1000000,2,3,358789,219782,219782,219782,375865,480721,480721,480721
22,0,16,1000000,2,4,29586,20027,20027,20027,32526,36205,36205,36205

23,0,8,1000000,1,1,10,4,4,4,7,29,29,29
23,0,8,1000000,1,2,84718,8,10,11,21,371896,695852,695877
23,0,8,1000000,1,3,641583,179303,277521,322976,712930,842072,851863,856319
23,0,8,1000000,1,4,50667,2160,8178,8666,25714,87602,89576,577997
23,0,8,1000000,2,2,5857,390,390,390,9306,13223,13223,13223
23,0,8,1000000,2,3,308498,113103,113103,113103,306602,594203,594203,594203
23,0,8,1000000,2,4,42517,10682,10682,10682,30422,108669,108669,108669

24,0,8,1000000,1,1,7,3,3,3,4,15,15,15
24,0,8,1000000,1,2,9121,7,10,11,19,399,78112,244912
24,0,8,1000000,1,3,602058,311485,355884,415330,627371,773496,804204,844930
24,0,8,1000000,1,4,22673,3116,8004,11184,20278,43371,45977,66783
24,0,8,1000000,2,2,7416,213,213,213,10404,11733,11733,11733
24,0,8,1000000,2,3,263087,113233,113233,113233,246992,453738,453738,453738
24,0,8,1000000,2,4,24223,10635,10635,10635,25511,39948,39948,39948
24,0,8,1000000,3,1,6,6,6,6,6,6,6,6
24,0,8,1000000,3,2,74,7,7,7,108,138,138,138
24,0,8,1000000,3,3,262040,122747,122747,122747,280524,342775,342775,342775
24,0,8,1000000,3,4,15566,7522,7522,7522,15455,20978,20978,20978
24,0,8,1000000,4,2,15286,15286,15286,15286,15286,15286,15286,15286
24,0,8,1000000,4,3,218191,218191,218191,218191,218191,218191,218191,218191
24,0,8,1000000,4,4,26124,26124,26124,26124,26124,26124,26124,26124

25,0,32,1000000,1,1,10,3,3,7,9,17,19,19
25,0,32,1000000,1,2,93561,19,24,28,53,32607,379891,2327623
25,0,32,1000000,1,3,2309022,683056,1107918,1617053,2456479,2815696,2873867,2912364
25,0,32,1000000,1,4,139109,14458,31510,45775,94396,288749,321171,788325
25,0,32,1000000,2,2,44293,44293,44293,44293,44293,44293,44293,44293
25,0,32,1000000,2,3,1150593,1150593,1150593,1150593,1150593,1150593,1150593,1150593
25,0,32,1000000,2,4,51856,51856,51856,51856,51856,51856,51856,51856
