NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
21,0,1,16,1000000,1071337,429.1,3535,1800,3063,7706,0,1275,925,2529,2621,1230,786,0,0
22,0,1,16,1000000,1102363,441.5,4024,1702,2945,7088,0,1298,1027,2593,2662,1105,679,0,0
23,0,1,8,1000000,1176763,471.3,2338,1606,2665,4700,0,699,883,1049,1049,1592,992,0,0
24,0,1,8,1000000,1102224,441.5,2432,1695,2785,4666,0,548,672,933,952,1730,1040,1682,1239
25,0,1,32,1000000,860442,344.6,14837,1823,2917,5025,0,1383,1119,3018,4078,287,162,1274,343
26,0,1,32,1000000,840417,336.6,12293,1833,2935,5176,0,1368,1130,3148,3677,300,305,767,353
27,0,1,48,1000000,717237,287.3,16820,1883,2935,5240,0,1697,1537,3356,4447,279,367,623,251
28,0,1,48,1000000,713826,285.9,16759,1899,2975,5321,0,1787,1619,3179,4660,305,266,701,205
29,1,1,8,1000000,1216282,487.2,2250,1676,2635,4534,0,749,693,1834,1834,871,1060,0,0
30,1,1,8,1000000,1194488,478.4,2445,1643,2639,4641,0,973,978,2112,2112,971,584,0,0
31,1,1,16,1000000,895217,358.6,7857,1764,2818,5794,0,1860,2015,4021,4021,565,899,0,0
32,1,1,16,1000000,875585,350.7,3531,1755,2862,5326,0,1731,1522,4089,4089,738,970,0,0
33,1,1,32,1000000,719642,288.2,4118,1827,2884,4664,0,1385,530,4188,4916,422,942,1446,870
40,1,1,32,1000000,740261,296.5,3274,1836,2949,5389,0,1404,522,3994,5354,479,989,861,837
41,1,1,48,1000000,434770,174.1,12492,1884,2971,5290,0,2609,2087,4686,12899,368,569,337,362
42,1,1,48,1000000,397019,159.0,0,1867,2936,4543,0,3143,2611,5724,17090,315,519,343,356
