NO,compactor,current_node_id,thread,ops_per_thread,type,time
27,2,3,4,3000000,local,9
27,2,3,4,3000000,node 0,11
29,2,3,4,3000000,local,12
29,2,3,4,3000000,node 0,15
30,2,3,4,3000000,local,6
30,2,3,4,3000000,node 0,16
31,2,3,4,3000000,local,9
31,2,3,4,3000000,node 0,13
31,2,3,4,3000000,node 1,1
33,2,3,4,3000000,local,12
33,2,3,4,3000000,node 0,20
34,2,3,4,3000000,local,7
34,2,3,4,3000000,node 0,13
36,2,3,4,3000000,local,10
36,2,3,4,3000000,node 0,15
36,2,3,4,3000000,node 1,1
37,2,3,4,3000000,local,5
37,2,3,4,3000000,node 0,14
37,2,3,4,3000000,node 1,2
