compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,comp avg,comp p50,comp p90,comp speed1,comp speed2,comp speed3,comp speed4
0,2,1,3000000,745044,298,958,1930,3455,1002092896,249,355,438,0,1156,0,760
0,2,2,3000000,1069336,428,1254,2204,3660,773474640,400,2115,2115,1475,1017,0,755
0,2,4,3000000,1326814,531,1386,2304,3864,410732864,1395,2312,2312,776,968,0,780
0,2,8,3000000,1193021,478,1534,2507,4422,104720736,2232,3038,3248,638,560,0,757
0,2,10,3000000,1173754,470,1545,2552,4904,0,1426,3193,3590,669,874,0,666
1,2,1,3000000,828578,332,871,1532,3134,0,262,384,442,0,1150,0,1222
1,2,2,3000000,1272044,510,1068,1705,3336,1632004448,216,478,810,3892,1102,0,1155
1,2,4,3000000,1425352,571,1445,2370,3723,1346656608,190,459,1160,3738,738,0,1048
1,2,8,3000000,469566,188,1726,2778,5209,753064256,468,3154,24248,2844,882,0,416
1,2,10,3000000,457594,183,1738,2789,5452,1111640416,1191,4174,14871,2890,936,0,324
