thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,969460,388.3,0.869800,1.258389,1.258389,1.258389,0.582968,0.807269,0.807269,0.807269,757,1265,2691,11317
1,5000000,1010715,404.8,0.869448,1.258389,1.258389,1.677852,3.879052,8.948546,15.100671,16.778523,736,1222,2512,11321
2,5000000,1490912,597.2,0.873971,1.258389,1.258389,7.130872,0.597475,0.597475,0.597475,0.597475,932,1442,2592,11523
2,5000000,1489356,596.6,0.858666,1.258389,1.258389,1.258389,10.415026,20.973154,28.104027,30.620805,941,1464,2673,11742
4,5000000,1588246,636.2,0.849507,1.258389,1.258389,1.258389,11.459382,20.973154,29.362416,36.493289,1186,2026,3493,13551
4,5000000,1057970,423.8,0.870673,1.258389,1.258389,1.258389,10.979682,20.134228,28.104027,32.298658,1505,2484,8682,17638
4,5000000,1253205,502.0,0.877332,1.258389,1.258389,1.677852,0,0,0,0,0,0,0,0
4,5000000,862153,345.3,0.854732,1.258389,1.258389,1.258389,0.606192,0.606192,0.606192,0.606192,1096,1735,3023,12604
8,5000000,732384,293.4,0.869453,1.258389,1.258389,1.258389,16.180036,25.167785,32.718121,37.332215,1276,2158,3950,13905
8,5000000,1035878,414.9,0.872100,1.258389,1.258389,1.258389,0,0,0,0,0,0,0,0
8,5000000,763088,305.6,0.838926,1.258389,1.677852,1.677852,0,0,0,0,0,0,0,0
8,5000000,904133,362.1,0.877377,1.258389,1.258389,1.677852,0.717217,0.717217,0.717217,0.717217,0,0,0,0
16,5000000,558381,223.7,0.873815,1.258389,1.258389,1.258389,17.729439,28.523490,39.429530,46.140940,1276,1919,3386,9611
16,5000000,525734,210.6,0.876497,1.258389,1.258389,1.258389,17.631995,28.523490,38.171141,46.560403,1264,1880,3212,8107
16,5000000,679139,272.0,0.874765,1.258389,1.258389,1.258389,0.715795,0.715795,0.715795,0.715795,1296,2014,3525,10480
16,5000000,597969,239.5,0.868309,1.258389,1.258389,1.258389,17.722405,28.104027,36.912752,42.785235,1363,2190,3757,13498
16,5000000,758679,303.9,0.866348,1.258389,1.258389,1.258389,0,0,0,0,0,0,0,0
