thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
1,5000000,883920,354.0,0.866560,1.258389,1.258389,1.677852,0.064924,0.279642,0.609781,0.838926,831,1558,2773,5994
1,5000000,796505,319.0,0.867528,1.258389,1.258389,1.258389,0.065471,0.279642,0.559284,0.838926,890,1748,2933,11760
2,5000000,1291435,517.3,0.869164,1.258389,1.258389,1.258389,0.137690,0.419463,0.865988,1.519137,1053,1785,2931,6453
2,5000000,1250252,500.8,0.869811,1.258389,1.258389,1.258389,0.754290,0.754290,0.754290,0.754290,1059,1819,3085,10132
4,5000000,1712871,686.1,0.869777,1.258389,1.258389,1.258389,0.142593,0.559284,1.449054,1.623728,1435,2256,3511,11852
4,5000000,1533266,614.1,0.869669,1.258389,1.258389,1.258389,0.559800,0.559800,0.559800,0.559800,1260,2348,4019,13273
8,5000000,1899409,760.8,0.869665,1.258389,1.258389,1.258389,0.131280,0.419463,0.877059,1.637903,1340,2117,3451,8522
8,5000000,1469237,588.5,0.868945,1.258389,1.258389,1.258389,0.586448,0.586448,0.586448,0.586448,1397,2595,4888,16937
16,5000000,1519429,608.6,0.865691,1.258389,1.258389,1.677852,0.117701,0.419463,0.877059,1.601586,1513,2435,4300,10171
16,5000000,1594383,638.6,0.869796,1.258389,1.258389,1.258389,0.759840,0.759840,0.759840,0.759840,1706,2753,4680,10351
