thread,ops per thread,throughput,bandwith,CN util avg,CN P50,CN P90,CN P99,MN util avg,MN P50,MN P90,MN P99,insert lat P50,insert P90,insert P99,insert P999
2,5000000,1438373,576.1,0.864497,1.258389,1.258389,1.258389,6.087247,14.821029,22.651007,27.265101,949,1429,2824,11599
2,5000000,1350171,540.8,0.865094,1.258389,1.258389,1.258389,5.145732,11.744966,18.036913,20.134228,972,1549,3076,12169
2,5000000,1533811,614.4,0.872096,1.258389,1.258389,1.258389,7.606982,15.100671,22.231544,23.909396,905,1364,2616,11373
2,5000000,1550091,620.9,0.868838,1.258389,1.258389,1.258389,7.182803,14.261745,21.812081,25.587248,902,1366,2624,11430
2,5000000,1495121,598.9,0.870312,1.258389,1.258389,1.677852,8.411157,16.359060,23.909396,29.362416,917,1396,2638,11550
2,5000000,1455486,583.0,0.872449,1.258389,1.258389,1.677852,8.222438,16.778523,28.104027,32.298658,936,1436,2690,11792
2,5000000,1416057,567.2,0.867327,1.258389,1.258389,1.258389,7.514158,14.261745,23.489933,29.362416,959,1476,2734,11954
2,5000000,1523820,610.4,0.865110,1.258389,1.258389,1.258389,8.571650,15.604027,23.489933,26.006711,911,1365,2566,11556
2,5000000,1500868,601.2,0.868031,1.258389,1.258389,1.258389,7.236241,14.261745,21.392617,24.748322,917,1408,2611,7806
2,5000000,1444197,578.5,0.875294,1.258389,1.258389,1.677852,9.240975,17.617450,26.006711,29.781879,931,1462,2817,11826
2,5000000,1533601,614.3,0.876983,1.258389,1.258389,1.258389,8.298042,17.058166,24.748322,29.362416,911,1372,2582,11550
2,5000000,1380956,553.1,0.876456,1.258389,1.258389,1.258389,7.173916,13.842282,25.587248,27.684564,965,1495,2904,12128
2,5000000,1593335,638.2,0.878964,1.258389,1.258389,1.677852,8.101145,15.100671,23.909396,28.942953,897,1361,2678,11433
8,5000000,1177257,471.5,0.867470,1.258389,1.258389,1.258389,0,0,0,0,0,0,0,0
8,5000000,923208,369.8,0.868449,1.258389,1.258389,1.258389,17.295447,30.201342,40.268456,46.140940,1126,1736,2968,9189
8,5000000,931377,373.1,0.864803,1.258389,1.258389,1.677852,0.780933,0.780933,0.780933,0.780933,1149,1861,3432,12593
8,5000000,862898,345.6,0.871225,1.258389,1.258389,1.258389,0.788508,0.811420,0.811420,0.811420,1266,2169,4038,14452
8,5000000,1617184,647.8,0.861972,1.258389,1.258389,1.677852,0.782475,0.782475,0.782475,0.782475,1176,1895,3271,12782
8,5000000,1057801,423.7,0.862037,1.258389,1.258389,1.258389,0.782011,0.796269,0.796269,0.796269,1119,1777,3057,9626
8,5000000,755454,302.6,0.871326,1.258389,1.258389,1.258389,14.948218,25.727069,38.171141,41.107383,1117,1742,2955,8861
