NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
32,0,1,4,3000000,1353788,542.3,1675,1505,2526,4127,0,992,785,1938,1938,1344,847,0,995
33,0,1,4,3000000,1412156,565.6,1935,1245,2115,3554,0,1388,1125,3867,3867,1058,738,0,0
34,0,1,4,3000000,1295111,518.7,1798,1519,2501,3916,0,1427,1828,2140,2140,483,1032,0,0
35,0,1,4,3000000,1237334,495.6,1760,1515,2485,3926,0,1562,2091,2910,2910,850,840,0,0
36,0,1,4,3000000,1721793,689.7,1545,1181,1932,3385,0,1361,1394,2273,2273,603,300,0,0
37,0,1,4,3000000,1155294,462.7,1955,1584,2575,4189,0,1273,1639,2419,2419,909,860,0,1128
38,1,1,4,3000000,2137794,856.3,1237,1123,1671,3172,0,388,337,716,914,3831,867,2647,1110
39,1,1,4,3000000,1897080,759.9,1499,1109,1607,3162,0,817,926,1175,1247,2099,983,0,220
41,1,1,4,3000000,2188094,876.4,1229,1113,1642,3192,0,346,292,619,793,3555,1036,1923,996
42,1,1,4,3000000,2076157,831.6,1250,1132,1708,3168,0,440,344,777,797,3762,1082,2750,1103
