NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
8,0,3,1,3000000,9.275836,9.921214,13.422819,15.319521,16.049022
9,0,3,2,3000000,19.669963,14.590020,46.688065,51.551406,68.573096
10,0,3,2,3000000,22.444480,17.508025,43.770061,58.360082,70.032098
11,0,3,4,3000000,30.172973,30.152709,52.524074,67.114094,70.032098
13,0,3,4,3000000,28.424987,26.262037,52.524074,81.704114,90.458127
14,0,3,8,3000000,44.299212,40.852057,72.220601,102.130143,110.884155
15,0,3,8,3000000,42.274731,46.688065,70.032098,77.813442,78.786110
16,0,3,10,3000000,45.625153,47.660733,68.573096,91.917129,107.966151
17,0,3,10,3000000,43.269942,45.229063,68.573096,87.540123,99.212139
18,1,3,1,3000000,8.315835,8.754012,11.672016,14.590020,20.426029
20,1,3,1,3000000,8.722849,10.213014,13.131018,16.049022,20.426029
21,1,3,2,3000000,12.064273,13.131018,17.508025,20.426029,22.371365
22,1,3,2,3000000,11.357829,12.255617,17.508025,20.426029,21.885031
23,1,3,4,3000000,13.918830,16.535356,22.614532,33.557047,33.557047
24,1,3,4,3000000,15.114710,16.778523,24.803035,43.770061,46.688065
25,1,3,8,3000000,12.354294,6.565509,29.763642,39.393055,43.770061
26,1,3,8,3000000,14.109200,8.754012,32.098045,46.688065,52.524074
27,1,3,10,3000000,14.736491,6.565509,33.557047,55.442078,61.278086
28,1,3,10,3000000,14.959585,7.295010,38.663554,49.606069,55.442078
