NO,compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
17,0,0,4,3000000,1256395,503.2,2330,1261,2218,3757,0,1664,1580,3466,3466,792,167,0,1231
18,0,0,4,3000000,1474965,590.8,1956,1286,2121,3513,0,1395,1453,2256,2256,1153,135,0,0
19,0,0,4,3000000,1331673,533.4,2028,1340,2349,4000,0,1366,2166,2641,2641,892,963,0,0
20,0,0,4,3000000,1195157,478.7,2022,1628,2616,3986,0,1469,2255,3045,3045,974,879,0,0
21,0,0,4,3000000,1245535,498.9,2286,1330,2356,3751,0,1567,1640,3239,3239,535,998,0,0
22,0,0,4,3000000,1346369,539.3,2043,1343,2339,3749,0,1418,1269,2688,2688,921,840,0,0
23,1,0,4,3000000,2183830,874.7,1231,1124,1622,3141,0,422,468,790,810,3490,1069,2608,1138
24,1,0,4,3000000,2182673,874.3,1234,1120,1634,3192,0,323,275,496,650,3901,965,1316,969
26,1,0,4,3000000,1948306,780.4,1327,1185,1864,3387,0,315,295,488,604,3575,942,2636,985
27,1,0,4,3000000,2176578,871.8,1247,1138,1640,3182,0,369,304,760,866,3641,1029,3004,987
