NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,1,1,1,100,42,42,48,101,128,239,239
1,1,1,2,35252,11458,11602,12365,31994,64816,65529,76750
1,1,1,3,592288,204431,226041,255589,513134,955239,1105016,1247798
1,1,1,4,39122,11010,15652,18957,35539,68206,72526,89032
1,1,1,5,148,78,78,90,128,189,386,386
1,1,2,1,45,20,20,20,39,106,106,106
1,1,2,2,9346,6857,6857,6857,9550,12315,12315,12315
1,1,2,3,343449,93483,93483,93483,294862,819835,819835,819835
1,1,2,4,33776,9718,9718,9718,27021,86514,86514,86514
1,1,2,5,31,21,21,21,30,44,44,44
1,1,3,1,72,65,65,65,80,80,80,80
1,1,3,2,5,1,1,1,6,11,11,11
1,1,3,3,139179,58321,58321,58321,148030,221090,221090,221090
1,1,3,4,11883,4981,4981,4981,10970,24375,24375,24375
1,1,3,5,143,143,143,143,143,143,143,143
1,1,4,1,29,13,13,13,32,45,45,45
1,1,4,2,5673,2369,2369,2369,7281,11963,11963,11963
1,1,4,3,154995,58397,58397,58397,167496,324491,324491,324491
1,1,4,4,17208,5526,5526,5526,15883,39731,39731,39731
1,1,4,5,25,16,16,16,27,36,36,36

2,1,1,1,101,43,43,44,80,184,214,214
2,1,1,2,34618,10584,15026,18880,34443,56037,58934,74483
2,1,1,3,719064,51893,288932,317834,717970,1157182,1229012,1317670
2,1,1,4,44719,3927,17261,20343,43913,69525,71831,83762
2,1,1,5,442,65,65,74,124,3386,3386,3386
2,1,2,1,39,25,25,25,42,60,60,60
2,1,2,2,10299,7055,7055,7055,9624,14573,14573,14573
2,1,2,3,318425,107320,107320,107320,240753,847648,847648,847648
2,1,2,4,31468,14285,14285,14285,24516,75608,75608,75608
2,1,2,5,348,15,15,15,27,2279,2279,2279
2,1,4,1,29,28,28,28,30,30,30,30
2,1,4,2,2411,2366,2366,2366,2404,2463,2463,2463
2,1,4,3,348172,330540,330540,330540,365805,365805,365805,365805
2,1,4,4,43114,40699,40699,40699,45529,45529,45529,45529
2,1,4,5,35,35,35,35,36,36,36,36

3,1,1,1,118,30,30,51,110,230,300,300
3,1,1,2,47303,9373,10677,14183,43979,90634,103901,131888
3,1,1,3,885753,103413,159312,198640,839744,1696654,1702624,1931694
3,1,1,4,53273,5721,9957,14844,50688,88782,91725,148073
3,1,1,5,202,53,53,62,168,511,629,629
3,1,2,1,56,35,35,35,51,93,93,93
3,1,2,2,11636,8588,8588,8588,11745,15537,15537,15537
3,1,2,3,333518,90435,90435,90435,250714,714536,714536,714536
3,1,2,4,31896,9833,9833,9833,30269,63681,63681,63681
3,1,2,5,31,21,21,21,26,61,61,61
3,1,3,1,57,30,30,30,69,85,85,85
3,1,3,2,8,1,1,1,6,21,27,27
3,1,3,3,251596,64809,64809,95581,260672,418244,540943,540943
3,1,3,4,20157,4805,4805,5322,19211,31455,46447,46447
3,1,3,5,94,70,70,70,94,120,120,120
3,1,4,1,40,11,11,11,27,124,124,124
3,1,4,2,3902,2281,2281,2281,2384,8239,8239,8239
3,1,4,3,247167,42744,42744,42744,231650,380015,380015,380015
3,1,4,4,30448,5530,5530,5530,24367,56863,56863,56863
3,1,4,5,34,23,23,23,35,40,40,40

4,1,1,1,134,27,27,37,128,310,312,312
4,1,1,2,43374,9642,11564,11874,42895,80010,83968,97023
4,1,1,3,862914,124045,240271,288555,719974,1523494,1707530,1843487
4,1,1,4,52576,4194,15342,18539,50576,88820,96095,111163
4,1,1,5,163,71,71,76,136,241,466,466
4,1,2,1,50,23,23,23,37,116,116,116
4,1,2,2,10596,4674,4674,4674,10666,16931,16931,16931
4,1,2,3,321589,97432,97432,97432,290527,724364,724364,724364
4,1,2,4,32661,10954,10954,10954,27532,68880,68880,68880
4,1,2,5,29,22,22,22,27,42,42,42
4,1,3,1,83,71,71,71,95,95,95,95
4,1,3,2,4,1,1,1,4,12,12,12
4,1,3,3,439417,256136,256136,256136,336564,764262,764262,764262
4,1,3,4,36327,15696,15696,15696,27706,69382,69382,69382
4,1,3,5,90,69,69,69,111,111,111,111
4,1,4,1,36,23,23,23,30,53,53,53
4,1,4,2,6262,2308,2308,2308,2636,20714,20714,20714
4,1,4,3,201263,165171,165171,165171,196300,278505,278505,278505
4,1,4,4,22318,20490,20490,20490,21093,24969,24969,24969
4,1,4,5,31,26,26,26,31,35,35,35

5,1,1,1,176,34,34,37,107,539,573,573
5,1,1,2,60925,9332,16431,19094,48051,118606,147639,195439
5,1,1,3,1538780,166422,253546,301677,1269883,2382379,6867628,7932401
5,1,1,4,84256,12980,16258,19204,77726,114711,136636,650722
5,1,1,5,314,54,54,95,262,843,899,899
5,1,2,1,48,36,36,36,43,68,68,68
5,1,2,2,10075,7358,7358,7358,9304,12966,12966,12966
5,1,2,3,408893,150443,150443,150443,304731,869003,869003,869003
5,1,2,4,39115,15312,15312,15312,29649,91552,91552,91552
5,1,2,5,166,24,24,24,37,942,942,942
5,1,3,1,60,15,15,16,45,121,150,150
5,1,3,2,8,0,1,1,7,20,27,41
5,1,3,3,710026,19240,77578,131471,457530,1658506,1751761,2460219
5,1,3,4,86181,3541,5358,5417,23175,553941,764209,775684
5,1,3,5,97,53,53,54,88,176,201,201
5,1,4,1,32,11,13,13,27,57,58,89
5,1,4,2,3374,358,676,1599,2422,7927,8197,8374
5,1,4,3,565864,95634,152831,155120,232668,1604890,1619400,1621653
5,1,4,4,23327,9766,11197,12683,20745,38298,41829,45599
5,1,4,5,36,23,25,25,33,47,56,94

6,1,1,1,152,29,34,46,103,363,414,435
6,1,1,2,53048,9309,15146,18394,52786,87003,90027,115103
6,1,1,3,1514958,227471,316723,346409,1091261,2146686,5804882,6534550
6,1,1,4,78301,9152,20585,23823,67540,100988,120005,657184
6,1,1,5,404,55,107,109,223,811,895,2333
6,1,2,1,63,24,24,24,75,114,114,114
6,1,2,2,11557,6914,6914,6914,12360,16119,16119,16119
6,1,2,3,244173,87548,87548,87548,237912,466178,466178,466178
6,1,2,4,23748,9317,9317,9317,23743,40279,40279,40279
6,1,2,5,26,18,18,18,25,37,37,37
6,1,3,1,106863,23,23,50,82,486266,538884,538884
6,1,3,2,10,0,1,1,7,27,34,57
6,1,3,3,687462,64028,97780,127775,767500,1550775,1599646,1698720
6,1,3,4,50762,4891,5588,6969,17205,63153,568862,584596
6,1,3,5,103,45,45,50,84,193,235,235
6,1,4,1,17807,12,12,13,32,83,95,497647
6,1,4,2,6292,1234,1308,2312,2594,8698,31417,32252
6,1,4,3,589453,76671,79096,135758,301079,1087054,1897615,2144682
6,1,4,4,46963,5743,9114,12035,22888,53414,90879,586434
6,1,4,5,32,19,19,25,31,47,48,50

7,1,1,1,151,46,56,71,124,320,340,382
7,1,1,2,71207,11489,14744,19525,50246,146915,196356,282337
7,1,1,3,2006699,99751,216537,319597,1270947,5862529,6773149,8481466
7,1,1,4,100672,4888,15726,22269,76673,109074,614588,727145
7,1,1,5,384,66,66,93,380,851,927,951
7,1,2,1,59,24,24,24,59,104,104,104
7,1,2,2,11928,7953,7953,7953,11974,17277,17277,17277
7,1,2,3,363316,84137,84137,84137,289371,875776,875776,875776
7,1,2,4,34133,9327,9327,9327,27571,77899,77899,77899
7,1,2,5,195,20,20,20,33,1510,1510,1510
7,1,3,1,51670,14,15,16,35,122,575052,678505
7,1,3,2,285,0,0,0,6,13,19,12535
7,1,3,3,1310941,42518,96585,213049,1097576,2444937,2583740,3705945
7,1,3,4,164346,1354,4939,5981,28302,748099,784101,1341905
7,1,3,5,170,40,43,48,68,127,219,4148
7,1,4,1,43978,10,11,11,19,90,533917,712415
7,1,4,2,4556,189,1798,2327,3795,8215,9169,22119
7,1,4,3,799743,37946,89618,173025,707512,1700584,1894760,2807383
7,1,4,4,141298,4008,8979,13822,25135,587370,796327,2124498
7,1,4,5,32,15,20,22,32,45,49,65

8,1,1,1,156,30,32,51,94,367,379,415
8,1,1,2,74031,12421,15954,21047,57478,155091,198133,206692
8,1,1,3,2321883,130109,369376,568524,1648605,6287202,7677712,8324757
8,1,1,4,145918,6509,22442,28557,75581,150089,779613,1403692
8,1,1,5,370,82,97,111,351,668,836,906
8,1,2,1,52,33,33,33,40,79,79,79
8,1,2,2,11641,7033,7033,7033,11579,16328,16328,16328
8,1,2,3,329810,96237,96237,96237,312497,562143,562143,562143
8,1,2,4,30280,9504,9504,9504,29663,48892,48892,48892
8,1,2,5,498,18,18,18,37,3291,3291,3291
8,1,3,1,36307,15,18,19,31,110,489560,699530
8,1,3,2,6,0,0,0,6,14,19,28
8,1,3,3,1359658,85036,139254,224354,1359116,2504268,2784661,4192634
8,1,3,4,146400,4345,5592,7894,30105,719107,766708,812229
8,1,3,5,88,47,57,59,77,126,197,325
8,1,4,1,46037,10,11,12,25,4787,519037,557507
8,1,4,2,4517,124,1099,2324,2629,8245,14616,17274
8,1,4,3,973272,51822,82487,196394,912646,2164757,2632989,2862198
8,1,4,4,127370,7204,9998,16930,31606,603130,781374,1335801
8,1,4,5,34,21,24,26,35,41,47,77

