NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
38,2,5,4,3000000,11.855371,4.194631,33.557047,71.308725,81.795302
39,2,5,4,3000000,11.748034,4.194631,37.751678,79.697987,83.892617
40,2,5,8,3000000,19.782707,4.194631,58.724832,83.892617,94.379195
41,2,5,8,3000000,18.039627,4.194631,51.733781,75.503356,79.697987
42,2,5,12,3000000,25.276273,5.243289,67.114094,109.060403,117.449664
43,2,5,12,3000000,21.911373,5.033557,66.065436,81.096197,117.449664
44,2,5,16,3000000,28.429887,12.583893,75.503356,96.476510,109.060403
46,2,5,16,3000000,25.902224,11.535235,71.308725,92.281879,113.255034
