NO,compactor,current_node_id,thread,ops_per_thread,type,time
38,2,5,4,3000000,local,9
38,2,5,4,3000000,node 0,11
39,2,5,4,3000000,local,11
39,2,5,4,3000000,node 0,13
40,2,5,8,3000000,local,29
40,2,5,8,3000000,node 0,17
40,2,5,8,3000000,node 1,4
40,2,5,8,3000000,node 3,1
41,2,5,8,3000000,local,22
41,2,5,8,3000000,node 0,20
42,2,5,12,3000000,local,41
42,2,5,12,3000000,node 0,21
42,2,5,12,3000000,node 1,3
42,2,5,12,3000000,node 3,1
43,2,5,12,3000000,local,42
43,2,5,12,3000000,node 0,21
43,2,5,12,3000000,node 1,11
43,2,5,12,3000000,node 3,4
44,2,5,16,3000000,local,63
44,2,5,16,3000000,node 0,24
44,2,5,16,3000000,node 1,21
44,2,5,16,3000000,node 3,11
46,2,5,16,3000000,local,61
46,2,5,16,3000000,node 0,25
46,2,5,16,3000000,node 1,17
46,2,5,16,3000000,node 3,7
