NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,1,8,1000000,8.253428,4.194631,6.991051,75.503356,77.600671
2,0,1,8,1000000,8.849084,4.194631,9.228188,73.406040,88.087248
3,0,1,8,1000000,9.231078,4.194631,29.362416,66.275168,88.087248
4,0,1,8,1000000,9.250355,4.194631,37.751678,67.114094,79.697987
5,0,1,8,1000000,9.265805,4.194631,34.955257,62.919463,81.795302
6,0,1,8,1000000,9.258951,4.194631,33.557047,71.308725,79.697987
7,0,1,8,1000000,9.222737,4.194631,33.557047,67.114094,78.299776
8,0,1,8,1000000,8.494024,4.194631,6.991051,67.114094,72.706935
9,1,1,8,1000000,6.538379,4.194631,5.243289,36.353468,43.344519
10,1,1,8,1000000,7.929068,4.194631,31.459732,41.946309,41.946309
11,1,1,8,1000000,7.220757,4.194631,8.389262,44.742729,48.937360
12,1,1,8,1000000,7.583882,4.194631,8.389262,47.539150,57.676174
13,1,1,8,1000000,7.766668,4.194631,23.070470,50.335570,58.724832
14,1,1,8,1000000,7.328522,4.194631,8.389262,46.140940,47.539150
15,1,1,8,1000000,8.450442,4.194631,29.362416,54.530201,62.919463
16,1,1,8,1000000,8.158953,4.194631,33.557047,43.344519,52.432886
