NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,8,1000000,1,1,11,6,6,6,8,21,21,21
1,0,8,1000000,1,2,5675,10,14,15,34,1686,73764,74053
1,0,8,1000000,1,3,500591,271781,308960,324022,470899,694341,753847,882575
1,0,8,1000000,1,4,67062,3444,3771,4922,14489,241989,376949,517152
1,0,8,1000000,2,2,14506,13095,13095,13095,14088,16336,16336,16336
1,0,8,1000000,2,3,281282,169551,169551,169551,258175,416122,416122,416122
1,0,8,1000000,2,4,27394,15789,15789,15789,25764,40631,40631,40631
1,0,8,1000000,4,2,6016,6016,6016,6016,6016,6016,6016,6016
1,0,8,1000000,4,3,171017,171017,171017,171017,171017,171017,171017,171017
1,0,8,1000000,4,4,20987,20987,20987,20987,20987,20987,20987,20987

2,0,8,1000000,1,1,11,2,2,2,16,19,19,19
2,0,8,1000000,1,2,6891,9,9,11,32,29777,30100,86351
2,0,8,1000000,1,3,462874,103444,212803,230963,397158,847019,941828,1131900
2,0,8,1000000,1,4,41992,3137,4845,6131,13905,103549,162001,206153
2,0,8,1000000,2,2,15772,15049,15049,15049,16495,16495,16495,16495
2,0,8,1000000,2,3,246938,165918,165918,165918,327958,327958,327958,327958
2,0,8,1000000,2,4,23471,15594,15594,15594,31349,31349,31349,31349
2,0,8,1000000,3,1,9,9,9,9,9,9,9,9
2,0,8,1000000,3,2,4,3,3,3,6,6,6,6
2,0,8,1000000,3,3,166085,84769,84769,84769,168266,268559,268559,268559
2,0,8,1000000,3,4,10649,5901,5901,5901,7294,22515,22515,22515
2,0,8,1000000,4,2,14978,14565,14565,14565,15392,15392,15392,15392
2,0,8,1000000,4,3,156778,127524,127524,127524,186032,186032,186032,186032
2,0,8,1000000,4,4,13857,7354,7354,7354,20361,20361,20361,20361

3,0,8,1000000,1,1,10,5,5,5,9,18,18,18
3,0,8,1000000,1,2,5026,7,10,13,31,157,81126,81578
3,0,8,1000000,1,3,512306,29554,223987,241823,477399,877139,895138,1101388
3,0,8,1000000,1,4,86098,3472,3955,5862,16690,282513,372632,530340
3,0,8,1000000,2,2,16682,11768,11768,11768,15271,23008,23008,23008
3,0,8,1000000,2,3,269771,109231,109231,109231,279718,420366,420366,420366
3,0,8,1000000,2,4,26232,11110,11110,11110,27037,40550,40550,40550
3,0,8,1000000,4,2,193,193,193,193,193,193,193,193
3,0,8,1000000,4,3,150844,150844,150844,150844,150844,150844,150844,150844
3,0,8,1000000,4,4,19047,19047,19047,19047,19047,19047,19047,19047

4,0,8,1000000,1,1,17,8,8,8,16,26,26,26
4,0,8,1000000,1,2,6104,6,9,10,22,166,81936,162277
4,0,8,1000000,1,3,387847,119907,240507,265614,393782,502283,538406,574610
4,0,8,1000000,1,4,23392,3464,3662,4518,11439,55574,71754,295242
4,0,8,1000000,2,2,7429,346,346,346,10214,11729,11729,11729
4,0,8,1000000,2,3,272872,154980,154980,154980,248970,414668,414668,414668
4,0,8,1000000,2,4,26871,15445,15445,15445,25794,39374,39374,39374
4,0,8,1000000,3,1,1,1,1,1,1,1,1,1
4,0,8,1000000,3,2,3,1,1,1,5,5,5,5
4,0,8,1000000,3,3,133212,73254,73254,73254,193170,193170,193170,193170
4,0,8,1000000,3,4,14316,7012,7012,7012,21620,21620,21620,21620
4,0,8,1000000,4,2,8206,143,143,143,16269,16269,16269,16269
4,0,8,1000000,4,3,176211,109084,109084,109084,243338,243338,243338,243338
4,0,8,1000000,4,4,17981,9514,9514,9514,26449,26449,26449,26449

5,0,8,1000000,1,1,15,6,6,6,13,29,29,29
5,0,8,1000000,1,2,26060,8,9,10,30,73497,162349,713396
5,0,8,1000000,1,3,416436,127075,247315,270399,400037,647518,778399,834720
5,0,8,1000000,1,4,17893,1908,2918,3684,8273,22853,126028,139306
5,0,8,1000000,2,2,12959,7014,7014,7014,14783,15297,15297,15297
5,0,8,1000000,2,3,288954,111381,111381,111381,298771,532079,532079,532079
5,0,8,1000000,2,4,26765,10623,10623,10623,30492,45134,45134,45134
5,0,8,1000000,3,1,4,4,4,4,4,4,4,4
5,0,8,1000000,3,2,17,2,2,2,11,49,49,49
5,0,8,1000000,3,3,169367,148780,148780,148780,161117,197077,197077,197077
5,0,8,1000000,3,4,8225,6934,6934,6934,8059,10387,10387,10387
5,0,8,1000000,4,2,14276,112,112,112,17710,39103,39103,39103
5,0,8,1000000,4,3,194197,125310,125310,125310,230488,264368,264368,264368
5,0,8,1000000,4,4,19378,14889,14889,14889,21812,22289,22289,22289

6,0,8,1000000,1,1,13,4,4,4,15,28,28,28
6,0,8,1000000,1,2,24040,10,14,19,37,76924,169631,417114
6,0,8,1000000,1,3,518047,240596,270882,317560,461119,793501,994668,1069427
6,0,8,1000000,1,4,27543,1943,3107,3274,12149,104736,123319,256790
6,0,8,1000000,2,2,8034,434,434,434,12127,13111,13111,13111
6,0,8,1000000,2,3,266386,102119,102119,102119,303364,452721,452721,452721
6,0,8,1000000,2,4,41734,10459,10459,10459,31207,103860,103860,103860
6,0,8,1000000,3,1,11,11,11,11,11,11,11,11
6,0,8,1000000,3,2,54,4,4,4,14,209,209,209
6,0,8,1000000,3,3,188278,137206,137206,137206,168356,279682,279682,279682
6,0,8,1000000,3,4,9287,6340,6340,6340,7272,16808,16808,16808
6,0,8,1000000,4,2,6846,182,182,182,13510,13510,13510,13510
6,0,8,1000000,4,3,241579,185484,185484,185484,297674,297674,297674,297674
6,0,8,1000000,4,4,22731,22446,22446,22446,23016,23016,23016,23016

7,0,8,1000000,1,1,14,5,5,5,18,25,25,25
7,0,8,1000000,1,2,5354,9,12,13,26,352,81316,81877
7,0,8,1000000,1,3,404596,205807,242528,269581,398347,563347,654458,748621
7,0,8,1000000,1,4,22661,3577,3869,4758,11968,45809,86386,240353
7,0,8,1000000,2,2,13591,12870,12870,12870,13663,14240,14240,14240
7,0,8,1000000,2,3,277956,155218,155218,155218,259847,418804,418804,418804
7,0,8,1000000,2,4,27031,15594,15594,15594,25326,40175,40175,40175
7,0,8,1000000,4,2,7852,109,109,109,11029,12420,12420,12420
7,0,8,1000000,4,3,180626,171415,171415,171415,184206,186257,186257,186257
7,0,8,1000000,4,4,21240,20177,20177,20177,21166,22377,22377,22377

8,0,8,1000000,1,1,17,6,6,6,17,33,33,33
8,0,8,1000000,1,2,35669,9,9,12,54,79929,235805,655148
8,0,8,1000000,1,3,444925,83992,218121,247589,462823,610682,651424,780277
8,0,8,1000000,1,4,17797,2206,3121,3216,10819,32439,78906,108675
8,0,8,1000000,2,2,13778,10899,10899,10899,15093,15344,15344,15344
8,0,8,1000000,2,3,313191,162710,162710,162710,314395,462469,462469,462469
8,0,8,1000000,2,4,45015,15767,15767,15767,31096,88183,88183,88183

9,1,8,1000000,1,1,72,42,42,42,79,126,126,126
9,1,8,1000000,1,2,722291,412055,412055,412055,727980,1013084,1013084,1013084
9,1,8,1000000,1,3,100,36,36,36,104,159,159,159
9,1,8,1000000,2,1,31,17,17,17,18,59,59,59
9,1,8,1000000,2,2,354604,213267,213267,213267,344725,505820,505820,505820
9,1,8,1000000,2,3,56,33,33,33,65,72,72,72
9,1,8,1000000,4,1,5583,5583,5583,5583,5583,5583,5583,5583
9,1,8,1000000,4,2,224135,224135,224135,224135,224135,224135,224135,224135
9,1,8,1000000,4,3,40,40,40,40,40,40,40,40

10,1,8,1000000,1,1,93,59,59,59,107,129,129,129
10,1,8,1000000,1,2,960674,912318,912318,912318,916255,1053451,1053451,1053451
10,1,8,1000000,1,3,125,43,43,43,144,190,190,190
10,1,8,1000000,2,1,32,16,16,16,34,54,54,54
10,1,8,1000000,2,2,441571,170810,170810,170810,378250,943978,943978,943978
10,1,8,1000000,2,3,42,32,32,32,51,53,53,53

11,1,8,1000000,1,1,83,38,38,38,64,191,191,191
11,1,8,1000000,1,2,762493,384112,384112,384112,888427,1006653,1006653,1006653
11,1,8,1000000,1,3,81,60,60,60,82,104,104,104
11,1,8,1000000,2,1,35,21,21,21,40,59,59,59
11,1,8,1000000,2,2,421985,169067,169067,169067,465548,790760,790760,790760
11,1,8,1000000,2,3,35,15,15,15,38,70,70,70

12,1,8,1000000,1,1,58,32,32,32,62,81,81,81
12,1,8,1000000,1,2,788459,368296,368296,368296,899137,1141901,1141901,1141901
12,1,8,1000000,1,3,112,51,51,51,75,252,252,252
12,1,8,1000000,2,1,39,16,16,16,24,79,79,79
12,1,8,1000000,2,2,453775,198330,198330,198330,351725,811271,811271,811271
12,1,8,1000000,2,3,39,18,18,18,39,61,61,61

13,1,8,1000000,1,1,80,39,39,39,87,117,117,117
13,1,8,1000000,1,2,662390,269359,269359,269359,679857,1207137,1207137,1207137
13,1,8,1000000,1,3,93,29,29,29,78,175,175,175
13,1,8,1000000,2,1,53,36,36,36,53,70,70,70
13,1,8,1000000,2,2,428019,239842,239842,239842,342499,701717,701717,701717
13,1,8,1000000,2,3,59,19,19,19,63,96,96,96
13,1,8,1000000,4,1,21,21,21,21,21,21,21,21
13,1,8,1000000,4,2,193272,193272,193272,193272,193272,193272,193272,193272
13,1,8,1000000,4,3,19,19,19,19,19,19,19,19

14,1,8,1000000,1,1,78,36,36,36,73,129,129,129
14,1,8,1000000,1,2,690559,525303,525303,525303,623662,943108,943108,943108
14,1,8,1000000,1,3,95,43,43,43,72,165,165,165
14,1,8,1000000,2,1,25,13,13,13,29,31,31,31
14,1,8,1000000,2,2,291626,109870,109870,109870,319023,523560,523560,523560
14,1,8,1000000,2,3,18,12,12,12,18,28,28,28

15,1,8,1000000,1,1,67,59,59,59,65,81,81,81
