compactor,node_id,thread,ops per thread,throughput,bandwith,insert avg,insert lat P50,insert P90,insert P99,dis cost,comp avg,comp p50,comp p90,comp p99,comp speed1,comp speed2,comp speed3,comp speed4
0.0,2.0,4.0,3000000.0,991135.0,397.0,2190.0,1619.0,2646.0,4471.5,0.0,1205.0,1044.0,2765.0,2838.0,827.0,983.0,0.0,1085.0
0.0,2.0,8.0,3000000.0,1216590.5,487.3,2481.5,1740.5,2733.5,4638.5,0.0,705.0,231.0,1980.0,3063.0,554.0,816.5,0.0,1097.0
0.0,2.0,12.0,3000000.0,1213692.5,486.1,3708.0,1735.0,2737.0,5001.5,0.0,536.5,205.0,1958.0,3317.5,544.0,866.0,0.0,840.5
0.0,2.0,16.0,3000000.0,1157729.0,463.75,4926.5,1767.0,2821.5,5549.5,0.0,461.5,221.5,1876.5,2707.0,603.5,960.0,0.0,713.5

1.0,2.0,4.0,3000000.0,1767902.5,708.15,1466.5,1247.0,1943.0,3480.0,0.0,366.0,293.5,733.5,1281.0,3397.0,970.5,0.0,920.0
1.0,2.0,8.0,3000000.0,912399.0,365.45,2052.5,1732.5,2770.5,5310.0,0.0,772.5,385.5,1638.0,5369.5,3468.5,959.5,0.0,602.0
1.0,2.0,12.0,3000000.0,668812.0,267.85,2670.5,1753.5,2703.5,4656.5,0.0,1056.0,802.5,1854.5,5763.0,2331.5,991.5,0.0,294.5
1.0,2.0,16.0,3000000.0,625374.5,250.5,1469.5,1784.5,2708.5,4192.5,0.0,1283.0,1039.0,2401.5,5936.0,2103.0,940.0,0.0,215.5
