NO,compactor,case,stage,avg,P1,P5,P10,P50,P90,P95,P99






7,2,1,1,203,86,86,93,186,314,335,335
7,2,1,2,2178,277,316,507,1288,4020,5059,14549
7,2,1,3,655994,48836,128887,179716,531313,1270209,1414970,1664045
7,2,1,4,38200,3267,6356,7563,33353,76279,84786,104247
7,2,1,5,411,69,69,112,325,820,946,946
7,2,2,1,83,83,83,83,83,83,83,83
7,2,2,2,676,676,676,676,676,676,676,676
7,2,2,3,145611,145611,145611,145611,145611,145611,145611,145611
7,2,2,4,14451,14451,14451,14451,14451,14451,14451,14451
7,2,2,5,26,26,26,26,26,26,26,26






13,2,1,1,254,98,98,109,205,331,716,716
13,2,1,2,3949,345,399,737,2564,7692,15739,27358
13,2,1,3,764813,25628,118969,142113,617079,1560702,1679555,2212435
13,2,1,4,38867,700,5991,7348,33168,75944,92533,111638
13,2,1,5,489,168,168,175,427,858,859,859
13,2,2,1,89,89,89,89,89,89,89,89
13,2,2,2,681,681,681,681,681,681,681,6

