NO,compactor,node_id,thread,ops per thread,avg,p50,p90,p99,p999
1,0,0,8,1000000,3.276373,0.000000,10.067114,16.778523,31.281993
2,0,0,8,1000000,3.390446,0.000000,11.185682,16.778523,16.778523
3,0,0,16,1000000,3.266330,0.000000,11.185682,16.778523,30.536913
4,0,0,16,1000000,3.217346,0.000000,10.067114,16.778523,16.778523
5,0,0,32,1000000,1.954172,0.000000,6.711409,13.982103,16.778523
6,0,0,32,1000000,1.982836,0.000000,6.711409,16.778523,16.778523
7,0,0,48,1000000,1.816033,0.000000,6.711409,13.422819,16.778523
8,0,0,48,1000000,1.863808,0.000000,6.711409,13.982103,20.134228
9,1,0,8,1000000,36.754346,43.624161,67.114094,70.469799,73.825503
10,1,0,8,1000000,34.888998,33.557047,67.114094,79.697987,79.697987
11,1,0,16,1000000,47.531626,58.724832,70.469799,83.892617,83.892617
12,1,0,16,1000000,47.036310,60.402685,70.469799,83.892617,83.892617
13,1,0,32,1000000,49.209573,57.046980,70.469799,83.892617,83.892617
14,1,0,32,1000000,51.782585,63.758389,70.469799,83.892617,88.087248
15,1,0,48,1000000,48.866799,57.046980,70.469799,83.892617,88.087248
16,1,0,48,1000000,45.688970,50.335570,70.469799,83.892617,88.087248
