NO,compactor,thread,ops per thread,case,stage,avg,P1,P5,P10,P50,P90,P95,P99
1,0,8,1000000,1,1,10,6,6,6,9,19,19,19
1,0,8,1000000,1,2,27006,9,14,15,31,76486,254731,408434
1,0,8,1000000,1,3,699625,229601,268549,421749,683837,1029750,1095887,1296842
1,0,8,1000000,1,4,79782,2043,3899,4039,38808,178075,377523,570634
1,0,8,1000000,2,2,7397,420,420,420,10718,11054,11054,11054
1,0,8,1000000,2,3,361382,177210,177210,177210,341782,565154,565154,565154
1,0,8,1000000,2,4,30396,16184,16184,16184,30266,44739,44739,44739

2,0,8,1000000,1,1,16,3,3,3,16,26,26,26
2,0,8,1000000,1,2,20383,6,7,10,20,75715,151136,320209
2,0,8,1000000,1,3,544780,254039,313318,435942,535859,690438,719786,788338
2,0,8,1000000,1,4,21456,3753,4928,7328,15477,46116,76790,97782
2,0,8,1000000,2,2,14499,11044,11044,11044,15290,17164,17164,17164
2,0,8,1000000,2,3,302258,113658,113658,113658,293143,499975,499975,499975
2,0,8,1000000,2,4,25343,11269,11269,11269,25373,39389,39389,39389
2,0,8,1000000,4,2,17843,17843,17843,17843,17843,17843,17843,17843

3,0,16,1000000,1,1,9,3,3,3,8,28,28,28
3,0,16,1000000,1,2,4030,4,5,8,39,373,8048,73811
3,0,16,1000000,1,3,876884,119780,308315,372746,835275,1434986,1630311,2030511
3,0,16,1000000,1,4,76033,1830,4185,7783,39228,164011,425072,536585
3,0,16,1000000,2,2,2833,210,210,210,385,10411,10411,10411
3,0,16,1000000,2,3,223021,109891,109891,109891,264057,363737,363737,363737
3,0,16,1000000,2,4,22084,10484,10484,10484,26032,36003,36003,36003
3,0,16,1000000,4,2,18467,18467,18467,18467,18467,18467,18467,18467
3,0,16,1000000,4,3,194984,194984,194984,194984,194984,194984,194984,194984
3,0,16,1000000,4,4,22694,22694,22694,22694,22694,22694,22694,22694

4,0,16,1000000,1,1,15,4,4,5,10,48,48,48
4,0,16,1000000,1,2,7170,8,12,13,37,1452,75417,152831
4,0,16,1000000,1,3,708214,171771,347257,423018,666931,1040077,1190884,1252017
4,0,16,1000000,1,4,31123,3887,4884,8820,20586,60641,93508,242344
4,0,16,1000000,2,2,8055,216,216,216,11849,12295,12295,12295
4,0,16,1000000,2,3,257638,124042,124042,124042,308694,436549,436549,436549
4,0,16,1000000,2,4,24026,10651,10651,10651,27815,42068,42068,42068
4,0,16,1000000,3,1,4,3,3,3,5,5,5,5
4,0,16,1000000,3,2,9,1,1,1,6,9,55,55
4,0,16,1000000,3,3,193259,128541,128541,138654,170306,245856,350326,350326
4,0,16,1000000,3,4,9307,4014,4014,4123,8213,9822,29473,29473
4,0,16,1000000,4,2,17596,13286,13286,13286,14384,25120,25120,25120
4,0,16,1000000,4,3,240596,216792,216792,216792,228152,276846,276846,276846
4,0,16,1000000,4,4,23441,22370,22370,22370,23201,24754,24754,24754

5,0,32,1000000,1,1,14,4,4,5,11,32,41,41
5,0,32,1000000,1,2,54227,16,23,25,58,8571,363231,1422869
5,0,32,1000000,1,3,1505341,302170,591753,868765,1626097,1953774,2006818,2046788
5,0,32,1000000,1,4,87730,4014,9225,21023,58986,205974,342115,415762
5,0,32,1000000,2,2,6947,323,323,323,8687,11832,11832,11832
5,0,32,1000000,2,3,403244,218706,218706,218706,296386,694642,694642,694642
5,0,32,1000000,2,4,30933,16757,16757,16757,34732,41312,41312,41312
5,0,32,1000000,3,1,5,2,2,2,4,11,11,11
5,0,32,1000000,3,2,601,1,2,2,29,2118,2434,7471
5,0,32,1000000,3,3,498886,130720,193328,234703,454995,863327,1078298,1283842
5,0,32,1000000,3,4,18949,2086,3523,6205,15927,36740,46287,56974
5,0,32,1000000,4,2,15677,121,125,125,324,33943,64651,159325
5,0,32,1000000,4,3,474343,140955,266594,298844,417569,836988,869819,871640
5,0,32,1000000,4,4,74714,10064,23322,24992,44699,192110,202211,214998

6,0,32,1000000,1,1,18,4,4,6,10,46,102,102
6,0,32,1000000,1,2,10954,8,11,13,32,813,8413,393355
6,0,32,1000000,1,3,1387351,453451,655902,736441,1446071,2021124,2085278,2163896
6,0,32,1000000,1,4,55421,7759,14723,20650,46402,96322,130102,193424
6,0,32,1000000,2,2,10594,9425,9425,9425,11763,11763,11763,11763
6,0,32,1000000,2,3,333050,234979,234979,234979,431122,431122,431122,431122
6,0,32,1000000,2,4,28280,20008,20008,20008,36553,36553,36553,36553
6,0,32,1000000,3,1,27,3,3,3,23,62,62,62
6,0,32,1000000,3,2,495,2,2,7,17,277,4244,7882
6,0,32,1000000,3,3,382228,65651,117107,168084,396642,599054,679687,815623
6,0,32,1000000,3,4,21088,926,999,1148,7630,35508,97635,180117
6,0,32,1000000,4,2,14364,103,122,128,257,39357,69485,110529
6,0,32,1000000,4,3,451985,201737,203796,289899,416027,655922,659075,672572
6,0,32,1000000,4,4,49718,7057,12472,17156,34935,101873,128500,129149

7,0,48,1000000,1,1,18,5,5,7,17,34,49,49
7,0,48,1000000,1,2,13515,12,17,23,50,2267,7832,224642
7,0,48,1000000,1,3,1969597,442809,950144,1198670,2089168,2399820,2461871,2584098
7,0,48,1000000,1,4,81314,2595,21949,26985,60338,176172,213311,274711
7,0,48,1000000,2,2,30914,30914,30914,30914,30914,30914,30914,30914
7,0,48,1000000,2,3,529849,529849,529849,529849,529849,529849,529849,529849
7,0,48,1000000,2,4,25633,25633,25633,25633,25633,25633,25633,25633
7,0,48,1000000,3,1,17,2,2,2,5,39,105,146
7,0,48,1000000,3,2,625,1,2,3,11,367,4340,18841
7,0,48,1000000,3,3,629015,66876,145292,196981,564679,1179376,1368979,1700783
7,0,48,1000000,3,4,51597,1095,1710,2567,24353,148092,208748,497770
7,0,48,1000000,4,2,6729,102,121,122,187,19385,24802,157878
7,0,48,1000000,4,3,698565,259561,396470,436201,694109,956629,1000541,1030089
7,0,48,1000000,4,4,92823,14539,21913,22707,62778,229568,255475,427853

8,0,48,1000000,1,1,25,3,3,5,13,86,101,101
8,0,48,1000000,1,2,56946,12,20,22,58,12703,279643,1358057
8,0,48,1000000,1,3,1908426,553936,1083984,1360935,1961415,2289389,2427573,2623889
8,0,48,1000000,1,4,77258,11880,20047,25344,59904,159413,196251,355603
8,0,48,1000000,2,2,13875,635,635,635,13286,27704,27704,27704
8,0,48,1000000,2,3,389989,224154,224154,224154,303496,642317,642317,642317
8,0,48,1000000,2,4,68725,18135,18135,18135,26596,161444,161444,161444
8,0,48,1000000,3,1,16,1,2,3,5,27,71,217
8,0,48,1000000,3,2,660,1,2,3,11,254,1026,16827
8,0,48,1000000,3,3,754857,84404,149409,207326,678161,1421837,1739574,2140731
8,0,48,1000000,3,4,46958,1048,1771,4172,26908,110435,186200,497041
8,0,48,1000000,4,2,14272,101,120,123,276,52101,57210,215498
8,0,48,1000000,4,3,727674,211314,290248,333377,644524,1259957,1509670,1651217
8,0,48,1000000,4,4,88456,3485,16603,21115,63462,202472,207588,267593

9,1,8,1000000,1,1,106,39,39,39,86,258,258,258
9,1,8,1000000,1,2,624990,361395,361395,361395,592535,1000557,1000557,1000557
9,1,8,1000000,1,3,127,80,80,80,137,172,172,172
9,1,8,1000000,2,1,4812,12,12,12,51,19148,19148,19148
9,1,8,1000000,2,2,412076,112866,112866,112866,329862,918779,918779,918779
9,1,8,1000000,2,3,52,13,13,13,67,98,98,98
9,1,8,1000000,4,1,20,11,11,11,30,30,30,30
9,1,8,1000000,4,2,224876,82960,82960,82960,366792,366792,366792,366792
9,1,8,1000000,4,3,23,10,10,10,37,37,37,37

10,1,8,1000000,1,1,4023,54,54,54,131,17555,17555,17555
10,1,8,1000000,1,2,778049,358929,358929,358929,813089,1221515,1221515,1221515
10,1,8,1000000,1,3,89,37,37,37,58,196,196,196
10,1,8,1000000,2,1,6760,49,49,49,694,19538,19538,19538
10,1,8,1000000,2,2,259098,141203,141203,141203,237452,398640,398640,398640
10,1,8,1000000,2,3,43,26,26,26,44,60,60,60

11,1,16,1000000,1,1,96,32,32,32,117,160,160,160
11,1,16,1000000,1,2,1182480,331457,331457,331457,1310095,1787489,1787489,1787489
11,1,16,1000000,1,3,84,39,39,39,74,146,146,146
11,1,16,1000000,2,1,12864,16,16,16,31,46258,46258,46258
11,1,16,1000000,2,2,343125,110791,110791,110791,294566,773717,773717,773717
11,1,16,1000000,2,3,24,11,11,11,24,40,40,40

12,1,16,1000000,1,1,97,37,37,39,118,178,178,178
12,1,16,1000000,1,2,1081319,332616,332616,332616,1015906,1910363,1910363,1910363
12,1,16,1000000,1,3,88,36,36,36,73,150,150,150
12,1,16,1000000,2,1,4789,21,21,21,26,19087,19087,19087
12,1,16,1000000,2,2,299851,113434,113434,113434,347810,518904,518904,518904
12,1,16,1000000,2,3,21,12,12,12,24,29,29,29
12,1,16,1000000,4,1,63,61,61,61,65,65,65,65
12,1,16,1000000,4,2,216576,206550,206550,206550,226603,226603,226603,226603
12,1,16,1000000,4,3,33,20,20,20,47,47,47,47

13,1,32,1000000,1,1,136,45,45,52,156,197,206,206
13,1,32,1000000,1,2,2347730,357063,357063,987945,2128728,2778596,8098497,8098497
13,1,32,1000000,1,3,193,35,35,65,162,549,560,560
13,1,32,1000000,2,1,6349,16,16,16,2891,22464,22464,22464
13,1,32,1000000,2,2,483263,178375,178375,178375,453629,978795,978795,978795
13,1,32,1000000,2,3,32,16,16,16,42,44,44,44
13,1,32,1000000,3,1,124,32,32,42,59,243,559,559
13,1,32,1000000,3,2,967129,286184,286184,286184,784252,2341679,2341679,2341679
13,1,32,1000000,3,3,66,19,19,19,62,162,162,162
13,1,32,1000000,4,1,65,14,18,21,50,149,171,174
13,1,32,1000000,4,2,590069,109001,109001,173834,265941,1664549,2185901,2185901
13,1,32,1000000,4,3,32,13,13,13,23,88,99,99

14,1,32,1000000,1,1,922,36,36,60,214,2539,7379,7379
14,1,32,1000000,1,2,2199210,431850,431850,535148,2027799,5915104,6639940,6639940
14,1,32,1000000,1,3,211,37,37,46,159,563,599,599
